,scientific_name,taxonomic_id,rank,organism_name_x,genome availability,salinity concentration/range(w/v),halotolerance classification,unnamed: 0_x,metasub_offa,metasub_new_york_city,metasub_rio_de_janeiro,metasub_fairbanks,metasub_porto,metasub_auckland,metasub_hamilton,metasub_sacramento,metasub_santiago,metasub_berlin,metasub_bogota,metasub_tokyo,metasub_ilorin,metasub_denver,metasub_lands_end,metasub_birmingham,metasub_newcastle,metasub_bury,metasub_eden,metasub_edinborough,metasub_jaywick,metasub_eastbourne,metasub_bradford,metasub_bristol,metasub_other_x,metasub_belfast,metasub_swansea,metasub_islington,metasub_kensington,metasub_cairngorm,metasub_pos_control,metasub_neg_control,metasub_london,metasub_kyiv,metasub_singapore,metasub_other_control,metasub_sao paulo,metasub_fukuoka,metasub_san francisco,metasub_taipei,metasub_yamaguchi,metasub_minneapolis,metasub_baltimore,metasub_brisbane,metasub_tsuruoka,metasub_san_francisco,metasub_sendai,metasub_antarctica,metasub_lisbon,metasub_doha,metasub_hong_kong,metasub_oslo,metasub_control_x,metasub_stockholm,metasub_paris,metasub_hanoi,metasub_sao_paulo,metasub_vienna,metasub_sofia,metasub_naples,metasub_marseille,metasub_seoul,metasub_st_louis,metasub_zurich,metasub_kuala_lumpur,metasub_barcelona,unnamed: 0_y,metasub_sub_saharan_africa,metasub_north_america,metasub_south_america,metasub_europe,metasub_oceania,metasub_east_asia,metasub_middle_east,unnamed: 0,metasub_wood,metasub_rubber,metasub_metal,metasub_leather,metasub_tile,metasub_other_y,metasub_plastic,metasub_glass,metasub_stainless steel,metasub_fabric,metasub_concrete,metasub_marble,metasub_marble-like,metasub_faux leather,metasub_(faux?) leather,metasub_bmat,metasub_carpet,metasub_metal and marble,metasub_vinyl,metasub_painted_metal,metasub_metal_plastic,metasub_granite,metasub_-,metasub_metal_wood,metasub_pvc,"metasub_metal, painted plastic, plastic",metasub_air control,metasub_air,metasub_positive control zymo,metasub_control air,metasub_negative control (air),metasub_metal/rubber,metasub_negative control,metasub_metal rubber,metasub_stone,metasub_polyester,metasub_touchscreen surface,metasub_skin,metasub_plaster,metasub_cloth,metasub_artificial fiber,metasub_copper wire,metasub_asbestos,metasub_rope,metasub_plastic wool like belt,metasub_tiles,metasub_paper,metasub_chair,metasub_plastic and glass,metasub_leather seat,metasub_positive control,metasub_water,metasub_ceramic,metasub_fake leather,metasub_control_y,metasub_metal/plastic,metasub_not identified,metasub_flesh,metasub_human hand,metasub_hand,metasub_metal with wooden handle,metasub_painted wood,metasub_seat,metasub_floor,metasub_glass rubber plastic,metasub_cement,metasub_synthetic leather,metasub_cell cover and screen,metasub_plastic and rubber,metasub_synthetic,metasub_formica,metasub_metal and formica,metasub_cell-phone screen and plastic cover,metasub_(probable) polypropylene fiber,metasub_pole,metasub_carpet fabric,virus tax id,virus name,virus lineage,refseq id,kegg genome,kegg disease,disease,host tax id,host name,host lineage,pmid,evidence,sample type,source organism,organism_name_y,gram_stain,gram_stain_citation,microbiome_location,microbiome_location_citation,antimicrobial_susceptibility,antimicrobial_susceptibility_citation,optimal_temperature,optimal_temperature_citation,extreme_environment,extreme_environment_citation,biofilm_forming,biofilm_forming_citation,optimal_ph,optimal_ph_citation,animal_pathogen,animal_pathogen_citation,spore_forming,spore_forming_citation,pathogenicity,pathogenicity_citation,plant_pathogen,non_null
454,Penicillium stoloniferum,1343417,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,296210.0,Penicillium stoloniferum virus F,Viruses; dsRNA viruses; Partitiviridae; Gammapartitivirus,"NC_007221, NC_007222",,,,1343417.0,Penicillium stoloniferum,Eukaryota; Fungi; Dikarya; Ascomycota; Pezizomycotina; Eurotiomycetes; Eurotiomycetidae; Eurotiales; Aspergillaceae; Penicillium,16025243,Literature,,,,,,,,,,,,,,,,,,,,,,,,,12
455,Penicillium stoloniferum,1343417,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,216371.0,Penicillium stoloniferum virus S,Viruses; dsRNA viruses; Partitiviridae; Gammapartitivirus,"NC_005976, NC_005977",,,,1343417.0,Penicillium stoloniferum,Eukaryota; Fungi; Dikarya; Ascomycota; Pezizomycotina; Eurotiomycetes; Eurotiomycetidae; Eurotiales; Aspergillaceae; Penicillium,14618085,Literature,,,,,,,,,,,,,,,,,,,,,,,,,12
1452,Discula destructiva,148313,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148880.0,Discula destructiva virus 1,Viruses; dsRNA viruses; Partitiviridae; Gammapartitivirus,"NC_002797, NC_002800",,,,148313.0,Discula destructiva,Eukaryota; Fungi; Dikarya; Ascomycota; Pezizomycotina; Sordariomycetes; Sordariomycetidae; Diaporthales; Gnomoniaceae; Discula,,"NCBI Virus, RefSeq",,,,,,,,,,,,,,,,,,,,,,,,,11
1453,Discula destructiva,148313,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160484.0,Discula destructiva virus 2,Viruses; dsRNA viruses; Partitiviridae; Gammapartitivirus,"NC_003710, NC_003711",,,,148313.0,Discula destructiva,Eukaryota; Fungi; Dikarya; Ascomycota; Pezizomycotina; Sordariomycetes; Sordariomycetidae; Diaporthales; Gnomoniaceae; Discula,,"NCBI Virus, RefSeq",,,,,,,,,,,,,,,,,,,,,,,,,11
1496,Candida albicans,5476,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Candida albicans,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,25
1548,Talaromyces stipitatus,28564,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Talaromyces stipitatus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25
2043,Malassezia globosa,76773,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Malassezia globosa,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,25
2225,Pseudogymnoascus destructans,655981,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1685502.0,Pseudogymnoascus destructans partitivirus-pa,Viruses; dsRNA viruses; Partitiviridae; unclassified Partitiviridae,"NC_030479, NC_030480",,,,655981.0,Pseudogymnoascus destructans,Eukaryota; Fungi; Dikarya; Ascomycota; Pezizomycotina; Leotiomycetes; Pseudeurotiaceae; Pseudogymnoascus,,"NCBI Virus, RefSeq",,,,,,,,,,,,,,,,,,,,,,,,,11
2860,Botrytis cinerea,40559,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,425010.0,Botryotinia fuckeliana partitivirus 1,Viruses; dsRNA viruses; Partitiviridae; unclassified Partitiviridae,"NC_010349, NC_010350, NC_010351",,,,40559.0,Botrytis cinerea,Eukaryota; Fungi; Dikarya; Ascomycota; Pezizomycotina; Leotiomycetes; Helotiales; Sclerotiniaceae; Botrytis,,,,,,,,,,,,,,,,,,,,,,,,,,,10
2861,Botrytis cinerea,40559,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,425009.0,Botryotinia fuckeliana totivirus 1,Viruses; dsRNA viruses; Totiviridae; Totivirus; unclassified Totivirus,NC_009224,,,,40559.0,Botrytis cinerea,Eukaryota; Fungi; Dikarya; Ascomycota; Pezizomycotina; Leotiomycetes; Helotiales; Sclerotiniaceae; Botrytis,,,,,,,,,,,,,,,,,,,,,,,,,,,10
2862,Botrytis cinerea,40559,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2169747.0,Botrytis cinerea betaendornavirus 1,Viruses; dsRNA viruses; Endornaviridae; Betaendornavirus,NC_031752,,,,40559.0,Botrytis cinerea,Eukaryota; Fungi; Dikarya; Ascomycota; Pezizomycotina; Leotiomycetes; Helotiales; Sclerotiniaceae; Botrytis,,"NCBI Virus, RefSeq",,,,,,,,,,,,,,,,,,,,,,,,,11
2863,Botrytis cinerea,40559,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2219106.0,Botrytis cinerea fusarivirus 1,Viruses; ssRNA viruses; unclassified ssRNA viruses; Fusariviridae,NC_037660,,,,40559.0,Botrytis cinerea,Eukaryota; Fungi; Dikarya; Ascomycota; Pezizomycotina; Leotiomycetes; Helotiales; Sclerotiniaceae; Botrytis,,"NCBI Virus, RefSeq",,,,,,,,,,,,,,,,,,,,,,,,,11
2864,Botrytis cinerea,40559,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2219107.0,Botrytis cinerea fusarivirus 1-S1,Viruses; ssRNA viruses; unclassified ssRNA viruses; Fusariviridae; Botrytis cinerea fusarivirus 1,NC_037661,,,,40559.0,Botrytis cinerea,Eukaryota; Fungi; Dikarya; Ascomycota; Pezizomycotina; Leotiomycetes; Helotiales; Sclerotiniaceae; Botrytis,,RefSeq,,,,,,,,,,,,,,,,,,,,,,,,,11
2865,Botrytis cinerea,40559,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2219108.0,Botrytis cinerea fusarivirus 1-S2,Viruses; ssRNA viruses; unclassified ssRNA viruses; Fusariviridae; Botrytis cinerea fusarivirus 1,NC_037662,,,,40559.0,Botrytis cinerea,Eukaryota; Fungi; Dikarya; Ascomycota; Pezizomycotina; Leotiomycetes; Helotiales; Sclerotiniaceae; Botrytis,,RefSeq,,,,,,,,,,,,,,,,,,,,,,,,,11
2866,Botrytis cinerea,40559,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2219105.0,Botrytis cinerea hypovirus 1,Viruses; dsRNA viruses; Hypoviridae; unclassified Hypoviridae,NC_037659,,,,40559.0,Botrytis cinerea,Eukaryota; Fungi; Dikarya; Ascomycota; Pezizomycotina; Leotiomycetes; Helotiales; Sclerotiniaceae; Botrytis,,"NCBI Virus, RefSeq",,,,,,,,,,,,,,,,,,,,,,,,,11
2867,Botrytis cinerea,40559,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2219109.0,Botrytis cinerea hypovirus 1 satellite-like RNA,Viruses; Satellites; Satellite Nucleic Acids; unclassified Satellite Nucleic Acids,NC_037663,,,,40559.0,Botrytis cinerea,Eukaryota; Fungi; Dikarya; Ascomycota; Pezizomycotina; Leotiomycetes; Helotiales; Sclerotiniaceae; Botrytis,,"NCBI Virus, RefSeq",,,,,,,,,,,,,,,,,,,,,,,,,11
2868,Botrytis cinerea,40559,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2219110.0,Botrytis cinerea hypovirus 1 satellite-like RNA-S,Viruses; Satellites; Satellite Nucleic Acids; unclassified Satellite Nucleic Acids,NC_037664,,,,40559.0,Botrytis cinerea,Eukaryota; Fungi; Dikarya; Ascomycota; Pezizomycotina; Leotiomycetes; Helotiales; Sclerotiniaceae; Botrytis,,"NCBI Virus, RefSeq",,,,,,,,,,,,,,,,,,,,,,,,,11
2869,Botrytis cinerea,40559,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,444193.0,Botrytis cinerea mitovirus 1,"Viruses; ssRNA viruses; ssRNA positive-strand viruses, no DNA stage; Narnaviridae; Mitovirus; unclassified Mitovirus",NC_011372,,,,40559.0,Botrytis cinerea,Eukaryota; Fungi; Dikarya; Ascomycota; Pezizomycotina; Leotiomycetes; Helotiales; Sclerotiniaceae; Botrytis,,"NCBI Virus, RefSeq",,,,,,,,,,,,,,,,,,,,,,,,,11
2870,Botrytis cinerea,40559,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1629665.0,Botrytis cinerea mitovirus 2,"Viruses; ssRNA viruses; ssRNA positive-strand viruses, no DNA stage; Narnaviridae; Mitovirus; unclassified Mitovirus",NC_028471,,,,40559.0,Botrytis cinerea,Eukaryota; Fungi; Dikarya; Ascomycota; Pezizomycotina; Leotiomycetes; Helotiales; Sclerotiniaceae; Botrytis,,NCBI Virus,,,,,,,,,,,,,,,,,,,,,,,,,11
