,scientific name,taxonomic_id,rank
Spodoptera exigua multiple nucleopolyhedrovirus,Spodoptera exigua multiple nucleopolyhedrovirus,10454,species
Spodoptera frugiperda multiple nucleopolyhedrovirus,Spodoptera frugiperda multiple nucleopolyhedrovirus,10455,species
Spodoptera littoralis nucleopolyhedrovirus,Spodoptera littoralis nucleopolyhedrovirus,10456,species
Trichoplusia ni granulovirus,Trichoplusia ni granulovirus,10462,species
unidentified granulovirus,unidentified granulovirus,10463,species
Agrotis segetum granulovirus,Agrotis segetum granulovirus,10464,species
Helicoverpa zea single nucleopolyhedrovirus,Helicoverpa zea single nucleopolyhedrovirus,10468,species
unidentified baculovirus,unidentified baculovirus,10469,species
unidentified nuclear polyhedrosis viruses,unidentified nuclear polyhedrosis viruses,10471,species
Plasmaviridae,Plasmaviridae,10472,family
Plasmavirus,Plasmavirus,10473,genus
Fuselloviridae,Fuselloviridae,10474,family
Alphafusellovirus,Alphafusellovirus,10475,genus
Lipothrixviridae,Lipothrixviridae,10477,family
Thermoproteus tenax virus 1,Thermoproteus tenax virus 1,10479,species
Polydnaviridae,Polydnaviridae,10482,family
Ichnovirus,Ichnovirus,10483,genus
Campoletis sonorensis ichnovirus,Campoletis sonorensis ichnovirus,10484,species
Bracovirus,Bracovirus,10485,genus
Iridoviridae,Iridoviridae,10486,family
Iridovirus,Iridovirus,10487,genus
Chloriridovirus,Chloriridovirus,10491,genus
Ranavirus,Ranavirus,10492,genus
Frog virus 3,Frog virus 3,10493,species
Lymphocystivirus,Lymphocystivirus,10494,genus
African swine fever virus,African swine fever virus,10497,species
Phycodnaviridae,Phycodnaviridae,10501,family
Paramecium bursaria Chlorella virus 1,Paramecium bursaria Chlorella virus 1,10506,species
Chlorella virus,Chlorella virus,10507,species
Adenoviridae,Adenoviridae,10508,family
Mastadenovirus,Mastadenovirus,10509,genus
Simian adenovirus 7,Simian adenovirus 7,10532,species
unidentified adenovirus,unidentified adenovirus,10535,species
Canine mastadenovirus A,Canine mastadenovirus A,10537,species
Aviadenovirus,Aviadenovirus,10552,genus
Rhizidiovirus,Rhizidiovirus,10556,genus
Xipapillomavirus 1,Xipapillomavirus 1,10561,species
Deltapapillomavirus 2,Deltapapillomavirus 2,10564,species
Deltapapillomavirus 1,Deltapapillomavirus 1,10565,species
Human papillomavirus,Human papillomavirus,10566,species
Iotapapillomavirus 1,Iotapapillomavirus 1,10567,species
Alphapapillomavirus 12,Alphapapillomavirus 12,10570,species
Bovine papillomavirus,Bovine papillomavirus,10571,species
Chaffinch papillomavirus,Chaffinch papillomavirus,10577,species
Human papillomavirus type me180,Human papillomavirus type me180,10602,species
Monkey papillomavirus,Monkey papillomavirus,10622,species
Kappapapillomavirus 2,Kappapapillomavirus 2,10623,species
Caulimovirus,Caulimovirus,10639,genus
Carnation etched ring virus,Carnation etched ring virus,10640,species
Cauliflower mosaic virus,Cauliflower mosaic virus,10641,species
Figwort mosaic virus,Figwort mosaic virus,10649,species
Soybean chlorotic mottle virus,Soybean chlorotic mottle virus,10651,species
Badnavirus,Badnavirus,10652,genus
Commelina yellow mottle virus,Commelina yellow mottle virus,10653,species
Rice tungro bacilliform virus,Rice tungro bacilliform virus,10654,species
Tectiviridae,Tectiviridae,10656,family
Corticoviridae,Corticoviridae,10659,family
Corticovirus,Corticovirus,10660,genus
Pseudoalteromonas virus PM2,Pseudoalteromonas virus PM2,10661,species
Myoviridae,Myoviridae,10662,family
Tequatrovirus,Tequatrovirus,10663,genus
Enterobacteria phage T2,Enterobacteria phage T2,10664,species
Escherichia virus T4,Escherichia virus T4,10665,species
Enterobacteria phage T6,Enterobacteria phage T6,10666,species
Bacillus phage PBSX,Bacillus phage PBSX,10667,species
Enterobacteria phage K3,Enterobacteria phage K3,10674,species
Enterobacteria phage M1,Enterobacteria phage M1,10676,species
Escherichia virus Mu,Escherichia virus Mu,10677,species
Escherichia virus P1,Escherichia virus P1,10678,species
Escherichia virus P2,Escherichia virus P2,10679,species
Enterobacteria phage P4,Enterobacteria phage P4,10680,species
Enterobacteria phage phiR73,Enterobacteria phage phiR73,10681,species
Bacillus virus PBS1,Bacillus virus PBS1,10683,species
Bacillus phage PBS2,Bacillus phage PBS2,10684,species
Bacillus virus SPO1,Bacillus virus SPO1,10685,species
Enterobacteria phage TuIa,Enterobacteria phage TuIa,10686,species
Enterobacteria phage TuIb,Enterobacteria phage TuIb,10687,species
Vibrio phage CP-T1,Vibrio phage CP-T1,10689,species
Haemophilus virus HP1,Haemophilus virus HP1,10690,species
Enterobacteria phage Ox2,Enterobacteria phage Ox2,10691,species
Enterobacteria phage RB18,Enterobacteria phage RB18,10692,species
Enterobacteria phage RB51,Enterobacteria phage RB51,10693,species
Bacillus phage SP82,Bacillus phage SP82,10696,species
Siphoviridae,Siphoviridae,10699,family
Actinophage RP3,Actinophage RP3,10701,species
Streptomyces phage VWB,Streptomyces phage VWB,10702,species
Corynephage beta,Corynephage beta,10703,species
Rhizobium phage 16-3,Rhizobium phage 16-3,10704,species
Enterobacteria phage 82,Enterobacteria phage 82,10705,species
Escherichia virus BF23,Escherichia virus BF23,10707,species
Pseudomonas virus D3112,Pseudomonas virus D3112,10708,species
Escherichia virus Lambda,Escherichia virus Lambda,10710,species
Enterobacteria phage phi80,Enterobacteria phage phi80,10713,species
Corynephage omega,Corynephage omega,10714,species
Staphylococcus phage 42D.m,Staphylococcus phage 42D.m,10715,species
Bacillus phage phi105,Bacillus phage phi105,10717,species
Streptomyces virus phiC31,Streptomyces virus phiC31,10719,species
Staphylococcus phage S phi-C,Staphylococcus phage S phi-C,10721,species
Bacillus phage SPO2,Bacillus phage SPO2,10723,species
Bacillus phage SPP1,Bacillus phage SPP1,10724,species
Bacillus phage SPR,Bacillus phage SPR,10725,species
Escherichia virus T5,Escherichia virus T5,10726,species
Staphylococcus phage L54a,Staphylococcus phage L54a,10727,species
Streptococcus pneumoniae phage HB-3,Streptococcus pneumoniae phage HB-3,10728,species
Corynebacterium phage gamma,Corynebacterium phage gamma,10733,species
Bacillus phage rho11s,Bacillus phage rho11s,10735,species
Bacillus phage phi3T,Bacillus phage phi3T,10736,species
Enterobacteria phage phi21,Enterobacteria phage phi21,10737,species
Enterobacteria phage PA-2,Enterobacteria phage PA-2,10738,species
Escherichia virus HK022,Escherichia virus HK022,10742,species
Phage 21,Phage 21,10743,species
Podoviridae,Podoviridae,10744,family
Lactococcus phage phi-vML3,Lactococcus phage phi-vML3,10746,species
Enterobacteria phage LP7,Enterobacteria phage LP7,10750,species
Escherichia virus N4,Escherichia virus N4,10752,species
Salmonella virus P22,Salmonella virus P22,10754,species
Bacillus virus phi29,Bacillus virus phi29,10756,species
Enterobacteria phage T3,Enterobacteria phage T3,10759,species
Shigella virus Sf6,Shigella virus Sf6,10761,species
Bacillus phage H1,Bacillus phage H1,10765,species
Enterobacteria phage K11,Enterobacteria phage K11,10766,species
Bacillus phage SF6,Bacillus phage SF6,10773,species
Bacillus virus B103,Bacillus virus B103,10778,species
Bacillus phage BS32,Bacillus phage BS32,10779,species
Parvoviridae,Parvoviridae,10780,family
Feline parvovirus,Feline parvovirus,10785,species
Dependoparvovirus,Dependoparvovirus,10803,genus
Ambidensovirus,Ambidensovirus,10806,genus
Geminiviridae,Geminiviridae,10811,family
Mastrevirus,Mastrevirus,10812,genus
Curtovirus,Curtovirus,10813,genus
Begomovirus,Begomovirus,10814,genus
Abutilon mosaic virus,Abutilon mosaic virus,10815,species
African cassava mosaic virus,African cassava mosaic virus,10817,species
Chloris striate mosaic virus,Chloris striate mosaic virus,10820,species
Maize streak virus,Maize streak virus,10821,species
Miscanthus streak virus,Miscanthus streak virus,10825,species
Panicum streak virus,Panicum streak virus,10826,species
Potato yellow mosaic virus,Potato yellow mosaic virus,10827,species
Squash leaf curl virus,Squash leaf curl virus,10829,species
Tobacco yellow dwarf virus,Tobacco yellow dwarf virus,10830,species
Tomato golden mosaic virus,Tomato golden mosaic virus,10831,species
Tomato yellow leaf curl virus,Tomato yellow leaf curl virus,10832,species
Wheat dwarf virus,Wheat dwarf virus,10834,species
Tomato mottle virus,Tomato mottle virus,10835,species
Sugarcane streak virus,Sugarcane streak virus,10836,species
Digitaria streak virus,Digitaria streak virus,10837,species
Bean dwarf mosaic virus,Bean dwarf mosaic virus,10838,species
Bean golden mosaic virus,Bean golden mosaic virus,10839,species
Beet curly top virus,Beet curly top virus,10840,species
Microviridae,Microviridae,10841,family
Microvirus,Microvirus,10842,genus
Escherichia virus phiX174,Escherichia virus phiX174,10847,species
Escherichia virus phiK,Escherichia virus phiK,10848,species
Enterobacteria phage G14,Enterobacteria phage G14,10850,species
Enterobacteria phage U3,Enterobacteria phage U3,10851,species
Spiromicrovirus,Spiromicrovirus,10852,genus
Spiroplasma virus SpV4,Spiroplasma virus SpV4,10855,species
Bdellomicrovirus,Bdellomicrovirus,10856,genus
Inoviridae,Inoviridae,10860,family
Inovirus,Inovirus,10861,genus
Xanthomonas virus Cf1c,Xanthomonas virus Cf1c,10862,species
Enterobacteria phage fd,Enterobacteria phage fd,10864,species
Enterobacteria phage ZJ/2,Enterobacteria phage ZJ/2,10866,species
Escherichia virus I22,Escherichia virus I22,10869,species
Shigella phage SfX,Shigella phage SfX,10874,species
Plectrovirus,Plectrovirus,10875,genus
Cystoviridae,Cystoviridae,10877,family
Cystovirus,Cystovirus,10878,genus
Pseudomonas virus phi6,Pseudomonas virus phi6,10879,species
Reoviridae,Reoviridae,10880,family
Orthoreovirus,Orthoreovirus,10882,genus
Reovirus sp.,Reovirus sp.,10891,species
Orbivirus,Orbivirus,10892,genus
Tick and insect-borne orbivirus,Tick and insect-borne orbivirus,10894,species
Coltivirus,Coltivirus,10911,genus
Rotavirus,Rotavirus,10912,genus
Feline rotavirus,Feline rotavirus,10921,species
Equine rotavirus,Equine rotavirus,10937,species
Rotavirus sp.,Rotavirus sp.,10970,species
Aquareovirus,Aquareovirus,10979,genus
Cypovirus,Cypovirus,10981,genus
Phytoreovirus,Phytoreovirus,10985,genus
Rice gall dwarf virus,Rice gall dwarf virus,10986,species
Wound tumor virus,Wound tumor virus,10987,species
Fijivirus,Fijivirus,10988,genus
Maize rough dwarf virus,Maize rough dwarf virus,10989,species
Rice black streaked dwarf virus,Rice black streaked dwarf virus,10990,species
Rice dwarf virus,Rice dwarf virus,10991,species
Oryzavirus,Oryzavirus,10992,genus
Birnaviridae,Birnaviridae,10993,family
Infectious bursal disease virus,Infectious bursal disease virus,10995,species
Infectious pancreatic necrosis virus,Infectious pancreatic necrosis virus,11002,species
Totiviridae,Totiviridae,11006,family
Totivirus,Totivirus,11007,genus
Saccharomyces cerevisiae virus L-A,Saccharomyces cerevisiae virus L-A,11008,species
Ustilago maydis virus P4,Ustilago maydis virus P4,11009,species
Ustilago maydis virus P6,Ustilago maydis virus P6,11010,species
Giardiavirus,Giardiavirus,11011,genus
Partitiviridae,Partitiviridae,11012,family
Chrysovirus,Chrysovirus,11014,genus
Togaviridae,Togaviridae,11018,family
Alphavirus,Alphavirus,11019,genus
Barmah Forest virus,Barmah Forest virus,11020,species
Eastern equine encephalitis virus,Eastern equine encephalitis virus,11021,species
Middelburg virus,Middelburg virus,11023,species
Highlands J virus,Highlands J virus,11024,species
Ross River virus,Ross River virus,11029,species
Semliki Forest virus,Semliki Forest virus,11033,species
Sindbis virus,Sindbis virus,11034,species
Venezuelan equine encephalitis virus,Venezuelan equine encephalitis virus,11036,species
Western equine encephalitis virus,Western equine encephalitis virus,11039,species
Rubivirus,Rubivirus,11040,genus
Rubella virus,Rubella virus,11041,species
Flaviviridae,Flaviviridae,11050,family
Flavivirus,Flavivirus,11051,genus
Japanese encephalitis virus,Japanese encephalitis virus,11072,species
Murray Valley encephalitis virus,Murray Valley encephalitis virus,11079,species
Saint Louis encephalitis virus,Saint Louis encephalitis virus,11080,species
West Nile virus,West Nile virus,11082,species
Powassan virus,Powassan virus,11083,species
Tick-borne encephalitis virus,Tick-borne encephalitis virus,11084,species
Langat virus,Langat virus,11085,species
Louping ill virus,Louping ill virus,11086,species
Yellow fever virus,Yellow fever virus,11089,species
Flavivirus sp.,Flavivirus sp.,11093,species
Pestivirus,Pestivirus,11095,genus
Hepacivirus,Hepacivirus,11102,genus
Hepacivirus C,Hepacivirus C,11103,species
Coronaviridae,Coronaviridae,11118,family
Human coronavirus 229E,Human coronavirus 229E,11137,species
Torovirus,Torovirus,11155,genus
Mononegavirales,Mononegavirales,11157,order
Paramyxoviridae,Paramyxoviridae,11158,family
Paramyxovirinae,Paramyxovirinae,11159,subfamily
Avian avulavirus 1,Avian avulavirus 1,11176,species
Murine respirovirus,Murine respirovirus,11191,species
Bovine respirovirus 3,Bovine respirovirus 3,11215,species
Human respirovirus 3,Human respirovirus 3,11216,species
Morbillivirus,Morbillivirus,11229,genus
Canine morbillivirus,Canine morbillivirus,11232,species
Measles morbillivirus,Measles morbillivirus,11234,species
Phocine morbillivirus,Phocine morbillivirus,11240,species
Rinderpest morbillivirus,Rinderpest morbillivirus,11241,species
Pneumoviridae,Pneumoviridae,11244,family
Pneumovirus,Pneumovirus,11245,genus
Bovine orthopneumovirus,Bovine orthopneumovirus,11246,species
Human orthopneumovirus,Human orthopneumovirus,11250,species
Murine orthopneumovirus,Murine orthopneumovirus,11263,species
Filoviridae,Filoviridae,11266,family
Marburg marburgvirus,Marburg marburgvirus,11269,species
Rhabdoviridae,Rhabdoviridae,11270,family
Vesiculovirus,Vesiculovirus,11271,genus
Vesicular stomatitis virus,Vesicular stomatitis virus,11276,species
Lyssavirus,Lyssavirus,11286,genus
Viral hemorrhagic septicemia virus,Viral hemorrhagic septicemia virus,11287,species
Rabies lyssavirus,Rabies lyssavirus,11292,species
Sigma virus,Sigma virus,11301,species
Cytorhabdovirus,Cytorhabdovirus,11305,genus
Nucleorhabdovirus,Nucleorhabdovirus,11306,genus
Sonchus yellow net nucleorhabdovirus,Sonchus yellow net nucleorhabdovirus,11307,species
Orthomyxoviridae,Orthomyxoviridae,11308,family
unidentified influenza virus,unidentified influenza virus,11309,species
Fowl plague virus,Fowl plague virus,11313,species
Dhori thogotovirus,Dhori thogotovirus,11318,species
Influenza A virus,Influenza A virus,11320,species
Influenza B virus,Influenza B virus,11520,species
Influenza C virus,Influenza C virus,11552,species
Thogoto thogotovirus,Thogoto thogotovirus,11569,species
Orthobunyavirus,Orthobunyavirus,11572,genus
Phlebovirus,Phlebovirus,11584,genus
Tospovirus,Tospovirus,11611,genus
Arenaviridae,Arenaviridae,11617,family
Arenavirus,Arenavirus,11618,genus
Lassa mammarenavirus,Lassa mammarenavirus,11620,species
Lymphocytic choriomeningitis mammarenavirus,Lymphocytic choriomeningitis mammarenavirus,11623,species
Machupo mammarenavirus,Machupo mammarenavirus,11628,species
Mopeia mammarenavirus,Mopeia mammarenavirus,11629,species
Tacaribe mammarenavirus,Tacaribe mammarenavirus,11631,species
Retroviridae,Retroviridae,11632,family
Reticuloendotheliosis virus,Reticuloendotheliosis virus,11636,species
Spumavirus,Spumavirus,11640,genus
Simian foamy virus,Simian foamy virus,11642,species
Lentivirus,Lentivirus,11646,genus
Bovine immunodeficiency virus,Bovine immunodeficiency virus,11657,species
Caprine arthritis encephalitis virus,Caprine arthritis encephalitis virus,11660,species
Ovine lentivirus,Ovine lentivirus,11663,species
Equine infectious anemia virus,Equine infectious anemia virus,11665,species
Feline immunodeficiency virus,Feline immunodeficiency virus,11673,species
Human immunodeficiency virus 1,Human immunodeficiency virus 1,11676,species
Human immunodeficiency virus 2,Human immunodeficiency virus 2,11709,species
Simian immunodeficiency virus,Simian immunodeficiency virus,11723,species
Jaagsiekte sheep retrovirus,Jaagsiekte sheep retrovirus,11746,species
Intracisternal A-particles,Intracisternal A-particles,11749,genus
Chinese hamster Intracisternal A-particle,Chinese hamster Intracisternal A-particle,11750,species
Chinese hamster Intracisternal A-particle CHIAP34,Chinese hamster Intracisternal A-particle CHIAP34,11751,species
Golden hamster intracisternal A-particle H18,Golden hamster intracisternal A-particle H18,11752,species
Mouse mammary tumor virus,Mouse mammary tumor virus,11757,species
Feline endogenous virus,Feline endogenous virus,11765,species
Feline leukemia virus,Feline leukemia virus,11768,species
Gardner-Arnstein feline sarcoma virus,Gardner-Arnstein feline sarcoma virus,11774,species
Snyder-Theilen feline sarcoma virus,Snyder-Theilen feline sarcoma virus,11780,species
Murine leukemia virus,Murine leukemia virus,11786,species
Abelson murine leukemia virus,Abelson murine leukemia virus,11788,species
Harvey murine sarcoma virus,Harvey murine sarcoma virus,11807,species
Kirsten murine sarcoma virus,Kirsten murine sarcoma virus,11808,species
Moloney murine sarcoma virus,Moloney murine sarcoma virus,11809,species
Spleen focus-forming virus,Spleen focus-forming virus,11819,species
Human endogenous retrovirus,Human endogenous retrovirus,11827,species
Macaca mulatta type C retrovirus,Macaca mulatta type C retrovirus,11829,species
Murine osteosarcoma virus,Murine osteosarcoma virus,11830,species
RD114 retrovirus,RD114 retrovirus,11834,species
Chimpanzee type C endogenous retrovirus,Chimpanzee type C endogenous retrovirus,11838,species
Gibbon ape leukemia virus,Gibbon ape leukemia virus,11840,species
Rat sarcoma virus,Rat sarcoma virus,11848,species
Mason-Pfizer monkey virus,Mason-Pfizer monkey virus,11855,species
Squirrel monkey retrovirus,Squirrel monkey retrovirus,11856,species
Avian leukosis virus,Avian leukosis virus,11864,species
Avian myeloblastosis virus,Avian myeloblastosis virus,11866,species
Avian myelocytomatosis virus,Avian myelocytomatosis virus,11867,species
Avian myelocytomatosis virus 29,Avian myelocytomatosis virus 29,11868,species
Avian carcinoma Mill Hill virus 2,Avian carcinoma Mill Hill virus 2,11870,species
Avian musculoaponeurotic fibrosarcoma virus AS42,Avian musculoaponeurotic fibrosarcoma virus AS42,11873,species
Avian retrovirus IC10,Avian retrovirus IC10,11874,species
Avian retrovirus NK24,Avian retrovirus NK24,11875,species
Avian sarcoma virus,Avian sarcoma virus,11876,species
Avian sarcoma virus CT10,Avian sarcoma virus CT10,11878,species
Y73 sarcoma virus,Y73 sarcoma virus,11884,species
Fujinami sarcoma virus,Fujinami sarcoma virus,11885,species
Rous sarcoma virus,Rous sarcoma virus,11886,species
Bovine leukemia virus,Bovine leukemia virus,11901,species
Avian myelocytomatosis virus hbi,Avian myelocytomatosis virus hbi,11915,species
Mouse Intracisternal A-particle,Mouse Intracisternal A-particle,11932,species
Avian endogenous virus,Avian endogenous virus,11945,species
Avian retrovirus,Avian retrovirus,11955,species
Avian carcinoma virus,Avian carcinoma virus,11958,species
Avian myeloblastosis-associated virus,Avian myeloblastosis-associated virus,11960,species
Lymphoproliferative disease virus,Lymphoproliferative disease virus,11961,species
Aids-associated retrovirus,Aids-associated retrovirus,11966,species
IAP H10,IAP H10,11968,species
Woolly monkey sarcoma virus,Woolly monkey sarcoma virus,11970,species
Avian hemangioma-inducing virus,Avian hemangioma-inducing virus,11971,species
Myeloproliferative leukemia virus,Myeloproliferative leukemia virus,11973,species
Caliciviridae,Caliciviridae,11974,family
Rabbit hemorrhagic disease virus,Rabbit hemorrhagic disease virus,11976,species
Feline calicivirus,Feline calicivirus,11978,species
Norwalk virus,Norwalk virus,11983,species
Carmovirus,Carmovirus,11985,genus
Carnation mottle virus,Carnation mottle virus,11986,species
Melon necrotic spot virus,Melon necrotic spot virus,11987,species
Turnip crinkle virus,Turnip crinkle virus,11988,species
Leviviridae,Leviviridae,11989,family
Levivirus,Levivirus,11990,genus
Allolevivirus,Allolevivirus,12008,genus
Pseudomonas phage PP7,Pseudomonas phage PP7,12023,species
Pseudomonas phage PRR1,Pseudomonas phage PRR1,12024,species
Luteovirus,Luteovirus,12036,genus
Barley yellow dwarf virus,Barley yellow dwarf virus,12037,species
Bean leafroll virus,Bean leafroll virus,12041,species
Beet western yellows virus,Beet western yellows virus,12042,species
Potato leafroll virus,Potato leafroll virus,12045,species
Soybean dwarf virus,Soybean dwarf virus,12049,species
Waikavirus,Waikavirus,12050,genus
Marafivirus,Marafivirus,12051,genus
unidentified tobacco necrosis virus,unidentified tobacco necrosis virus,12054,species
Tobacco necrosis virus A,Tobacco necrosis virus A,12055,species
Tobacco necrosis virus D,Tobacco necrosis virus D,12056,species
Sequivirus,Sequivirus,12057,genus
Picornaviridae,Picornaviridae,12058,family
Enterovirus,Enterovirus,12059,genus
Enterovirus E,Enterovirus E,12064,species
Coxsackievirus,Coxsackievirus,12066,species
Hepatovirus,Hepatovirus,12091,genus
Hepatovirus A,Hepatovirus A,12092,species
Cardiovirus,Cardiovirus,12103,genus
Aphthovirus,Aphthovirus,12109,genus
Foot-and-mouth disease virus,Foot-and-mouth disease virus,12110,species
Cricket paralysis virus,Cricket paralysis virus,12136,species
Sobemovirus,Sobemovirus,12137,genus
Maize chlorotic mottle virus,Maize chlorotic mottle virus,12138,species
Southern bean mosaic virus,Southern bean mosaic virus,12139,species
Tombusvirus,Tombusvirus,12141,genus
Artichoke mottled crinkle virus,Artichoke mottled crinkle virus,12142,species
Cucumber necrosis virus,Cucumber necrosis virus,12143,species
Cymbidium ringspot virus,Cymbidium ringspot virus,12144,species
Tomato bushy stunt virus,Tomato bushy stunt virus,12145,species
Tymovirus,Tymovirus,12148,genus
Belladonna mottle virus,Belladonna mottle virus,12149,species
Cacao yellow mosaic virus,Cacao yellow mosaic virus,12150,species
Eggplant mosaic virus,Eggplant mosaic virus,12151,species
Erysimum latent virus,Erysimum latent virus,12152,species
Ononis yellow mosaic virus,Ononis yellow mosaic virus,12153,species
Turnip yellow mosaic virus,Turnip yellow mosaic virus,12154,species
Clitoria yellow vein virus,Clitoria yellow vein virus,12157,species
Kennedya yellow mosaic virus,Kennedya yellow mosaic virus,12158,species
Closterovirus,Closterovirus,12160,genus
Beet yellows virus,Beet yellows virus,12161,species
Citrus tristeza virus,Citrus tristeza virus,12162,species
Carlavirus,Carlavirus,12163,genus
Carnation latent virus,Carnation latent virus,12164,species
Chrysanthemum virus B,Chrysanthemum virus B,12165,species
Poplar mosaic virus,Poplar mosaic virus,12166,species
Potato virus M,Potato virus M,12167,species
Potato virus S,Potato virus S,12169,species
Helenium virus S,Helenium virus S,12171,species
Shallot latent virus,Shallot latent virus,12172,species
Lily symptomless virus,Lily symptomless virus,12173,species
Capillovirus,Capillovirus,12174,genus
Apple chlorotic leaf spot virus,Apple chlorotic leaf spot virus,12175,species
Potexvirus,Potexvirus,12176,genus
Clover yellow mosaic virus,Clover yellow mosaic virus,12177,species
Cymbidium mosaic virus,Cymbidium mosaic virus,12178,species
Foxtail mosaic virus,Foxtail mosaic virus,12179,species
Narcissus mosaic virus,Narcissus mosaic virus,12180,species
Papaya mosaic virus,Papaya mosaic virus,12181,species
Potato aucuba mosaic virus,Potato aucuba mosaic virus,12182,species
Potato virus X,Potato virus X,12183,species
Strawberry mild yellow edge virus,Strawberry mild yellow edge virus,12187,species
White clover mosaic virus,White clover mosaic virus,12188,species
Lily virus X,Lily virus X,12194,species
Potyvirus,Potyvirus,12195,genus
