scientific_name,taxonomic_id,rank,animal_pathogen,antimicrobial_susceptibility,biofilm_forming,extreme_environment,genome_availability,gram_stain,halotolerance_classification,host_lineage,host_name,human_pathogen,kegg_genome,metasub_(faux?)_leather,metasub_(probable)_polypropylene_fiber,metasub_-,metasub_air,metasub_air_control,metasub_amaguchi,metasub_antarctica,metasub_artificial_fiber,metasub_asbestos,metasub_auckland,metasub_baltimore,metasub_barcelona,metasub_belfast,metasub_berlin,metasub_birmingham,metasub_bmat,metasub_bogota,metasub_bradford,metasub_brisbane,metasub_bristol,metasub_bury,metasub_cairngorm,metasub_carpet,metasub_carpet_fabric,metasub_cell-phone_screen_and_plastic_cover,metasub_cell_cover_and_screen,metasub_cement,metasub_ceramic,metasub_chair,metasub_cloth,metasub_concrete,metasub_control_air,metasub_copper_wire,metasub_denver,metasub_doha,metasub_east_asia,metasub_eastbourne,metasub_eden,metasub_edinborough,metasub_europe,metasub_fabric,metasub_fairbanks,metasub_fake_leather,metasub_faux_leather,metasub_flesh,metasub_floor,metasub_formica,metasub_fukuoka,metasub_glass,metasub_glass_rubber_plastic,metasub_granite,metasub_hamilton,metasub_hand,metasub_hanoi,metasub_hong_kong,metasub_human_hand,metasub_ilorin,metasub_islington,metasub_jaywick,metasub_kensington,metasub_kuala_lumpur,metasub_kyiv,metasub_lands_end,metasub_leather,metasub_leather_seat,metasub_lisbon,metasub_london,metasub_marble,metasub_marble-like,metasub_marseille,metasub_metal,metasub_metal/plastic,metasub_metal/rubber,metasub_metal__painted_plastic__plastic,metasub_metal_and_formica,metasub_metal_and_marble,metasub_metal_plastic,metasub_metal_rubber,metasub_metal_with_wooden_handle,metasub_metal_wood,metasub_middle_east,metasub_minneapolis,metasub_naples,metasub_neg_control,metasub_negative_control,metasub_negative_control_(air),metasub_new_ork_city,metasub_newcastle,metasub_north_america,metasub_oceania,metasub_offa,metasub_oslo,metasub_other_control,metasub_painted_metal,metasub_painted_wood,metasub_paper,metasub_paris,metasub_plaster,metasub_plastic,metasub_plastic_and_glass,metasub_plastic_and_rubber,metasub_plastic_wool_like_belt,metasub_pole,metasub_polyester,metasub_porto,metasub_pos_control,metasub_positive_control,metasub_positive_control_zymo,metasub_pvc,metasub_rio_de_janeiro,metasub_rope,metasub_rubber,metasub_sacramento,metasub_santiago,metasub_seat,metasub_sendai,metasub_seoul,metasub_singapore,metasub_skin,metasub_sofia,metasub_south_america,metasub_st_louis,metasub_stainless_steel,metasub_stockholm,metasub_stone,metasub_sub_saharan_africa,metasub_swansea,metasub_synthetic,metasub_synthetic_leather,metasub_taipei,metasub_tile,metasub_tiles,metasub_tokyo,metasub_touchscreen_surface,metasub_tsuruoka,metasub_vienna,metasub_vinyl,metasub_water,metasub_wood,metasub_zurich,optimal_ph,optimal_temperature,pathogenicity,plant_pathogen,salinity_concentration/range(w/v),spore_forming,virus_lineage,virus_name
Aspergillus nidulans,162425,species,Maybe Not,Maybe Not,Never,Mesophiles,,Negative,,,,Maybe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,Maybe Not,,Always,,
Aspergillus niger,5061,species,Maybe Not,Maybe Not,Never,Mesophiles,,Negative,,,,Maybe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,Maybe Not,,Always,,
Aspergillus ochraceus,40380,species,,,,,no,,Extreme,Eukaryota; Fungi; Dikarya; Ascomycota; Pezizomycotina; Eurotiomycetes; Eurotiomycetidae; Eurotiales; Aspergillaceae; Aspergillus,Aspergillus ochraceus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,satd,,Viruses; dsRNA viruses; Partitiviridae; Gammapartitivirus,Penicillium stoloniferum virus S
Aspergillus oryzae,5062,species,Maybe Not,Maybe Not,Never,Mesophiles,,Negative,,,,Maybe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,Maybe Not,,Always,,
Aspergillus terreus,33178,species,Sometimes,Maybe Not,Never,Mesophiles,,Negative,,,,Maybe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,37.5,0.0,Sometimes,,Always,,
Aspergillus wentii,5066,species,,,,,no,,Extreme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,satd,,,
Atkinsonella hypoxylon,47741,species,,,,,,,,Eukaryota; Fungi; Dikarya; Ascomycota; Pezizomycotina; Sordariomycetes; Hypocreomycetidae; Hypocreales; Clavicipitaceae; Atkinsonella,Atkinsonella hypoxylon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Viruses; dsRNA viruses; Partitiviridae; Betapartitivirus,Atkinsonella hypoxylon virus
Aureobasidium pullulans,5580,species,,,,,shotgun,,Moderate\xc2\xa0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<=17%,,,
Beauveria bassiana,176275,species,,,,,,,,Eukaryota; Fungi; Dikarya; Ascomycota; Pezizomycotina; Sordariomycetes; Hypocreomycetidae; Hypocreales; Cordycipitaceae; Beauveria,Beauveria bassiana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Viruses; dsRNA viruses; Totiviridae; Victorivirus; unclassified Victorivirus, Viruses; unclassified viruses, Viruses; dsRNA viruses; unclassified dsRNA viruses, Viruses; dsRNA viruses; Totiviridae; Victorivirus","Beauveria bassiana polymycovirus 1, Beauveria bassiana victorivirus 1, Beauveria bassiana victorivirus NZL/1980, Beauveria bassiana RNA virus 1"
Bipolaris maydis,5016,species,,,,,,,,Eukaryota; Fungi; Dikarya; Ascomycota; Pezizomycotina; Dothideomycetes; Pleosporomycetidae; Pleosporales; Pleosporineae; Pleosporaceae; Bipolaris,Bipolaris maydis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Viruses; dsRNA viruses; Partitiviridae; unclassified Partitiviridae, Viruses; dsRNA viruses; Botybirnavirus; unclassified Botybirnavirus","Bipolaris maydis botybirnavirus 1, Bipolaris maydis partitivirus 1, Bipolaris maydis partitivirus 2"
Bipolaris victoriae,40125,species,,,,,,,,Eukaryota; Fungi; Dikarya; Ascomycota; Pezizomycotina; Dothideomycetes; Pleosporomycetidae; Pleosporales; Pleosporineae; Pleosporaceae; Bipolaris,Bipolaris victoriae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Viruses; dsRNA viruses; Chrysoviridae; Chrysovirus, Viruses; dsRNA viruses; Totiviridae; Victorivirus","Helminthosporium victoriae virus 190S, Helminthosporium victoriae 145S virus"
Botryosphaeria dothidea,55169,species,,,,,,,,Eukaryota; Fungi; Dikarya; Ascomycota; Pezizomycotina; Dothideomycetes; Botryosphaeriales; Botryosphaeriaceae; Botryosphaeria,Botryosphaeria dothidea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Viruses; dsRNA viruses; Totiviridae; Victorivirus; unclassified Victorivirus, Viruses; dsRNA viruses; Chrysoviridae; Chrysovirus; unclassified Chrysovirus, Viruses; dsRNA viruses; Partitiviridae; unclassified Partitiviridae","Botryosphaeria dothidea chrysovirus 1, Botryosphaeria dothidea virus 1, Botryosphaeria dothidea victorivirus 1"
Botrytis,33196,genus,,,,,,,,Eukaryota; Fungi; Dikarya; Ascomycota; Pezizomycotina; Leotiomycetes; Helotiales; Sclerotiniaceae,Botrytis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Viruses; ssRNA viruses; ssRNA positive-strand viruses, no DNA stage; Ourmiavirus; unclassified Ourmiavirus",Botrytis ourmia-like virus
Botrytis cinerea,40559,species,,,,,,,,Eukaryota; Fungi; Dikarya; Ascomycota; Pezizomycotina; Leotiomycetes; Helotiales; Sclerotiniaceae; Botrytis,Botrytis cinerea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Viruses; ssRNA viruses; ssRNA negative-strand viruses; unclassified ssRNA negative-strand viruses, Viruses; dsRNA viruses; Totiviridae; Totivirus; unclassified Totivirus, Viruses; dsRNA viruses; Hypoviridae; unclassified Hypoviridae, Viruses; ssRNA viruses; ssRNA positive-strand viruses, no DNA stage; Tymovirales; Alphaflexiviridae; Botrexvirus, Viruses; dsRNA viruses; Endornaviridae; Betaendornavirus, Viruses; ssRNA viruses; unclassified ssRNA viruses; Fusariviridae; Botrytis cinerea fusarivirus 1, Viruses; ssRNA viruses; ssRNA positive-strand viruses, no DNA stage; Tymovirales; Gammaflexiviridae; Mycoflexivirus, Viruses; dsRNA viruses; unclassified dsRNA viruses, Viruses; Satellites; Satellite Nucleic Acids; unclassified Satellite Nucleic Acids, Viruses; ssRNA viruses; ssRNA positive-strand viruses, no DNA stage; Ourmiavirus; unclassified Ourmiavirus, Viruses; dsRNA viruses; Partitiviridae; unclassified Partitiviridae, Viruses; ssRNA viruses; ssRNA positive-strand viruses, no DNA stage; Narnaviridae; Mitovirus; unclassified Mitovirus, Viruses; ssRNA viruses; ssRNA positive-strand viruses, no DNA stage; Narnaviridae; Narnavirus; unclassified Narnavirus, Viruses; ssRNA viruses; unclassified ssRNA viruses; Fusariviridae","Botrytis cinerea mitovirus 1, Botrytis cinerea mitovirus 3, Botrytis cinerea mitovirus 2, Botrytis cinerea fusarivirus 1, Botrytis cinerea fusarivirus 1-S2, Botrytis cinerea hypovirus 1 satellite-like RNA, Botrytis virus F, Botrytis cinerea hypovirus 1 satellite-like RNA-S, Botrytis cinerea mitovirus 4, Botryotinia fuckeliana totivirus 1, Grapevine associated narnavirus-1, Botrytis cinerea negative-stranded RNA virus 1, Botryotinia fuckeliana partitivirus 1, Botrytis cinerea betaendornavirus 1, Botrytis ourmia-like virus, Botrytis virus X, Botrytis cinerea hypovirus 1, Botrytis cinerea RNA virus 1, Botrytis cinerea fusarivirus 1-S1"
Botrytis porri,87229,species,,,,,,,,Eukaryota; Fungi; Dikarya; Ascomycota; Pezizomycotina; Leotiomycetes; Helotiales; Sclerotiniaceae; Botrytis,Botrytis porri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Viruses; dsRNA viruses; Botybirnavirus,Botrytis porri botybirnavirus 1
Candida albicans,5476,species,Maybe Not,Maybe Not,Always,Mesophiles,,Negative,,,,Sometimes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,Maybe Not,,Always,,
Candida dubliniensis,42374,species,Maybe Not,Maybe Not,Always,Mesophiles,,Negative,,,,Maybe,,Always Observed,Always Observed,Always Observed,Fairly Observed,Always Observed,Mostly Observed,Always Observed,Always Observed,Always Observed,Fairly Observed,Always Observed,Mostly Observed,Always Observed,Always Observed,Always Observed,Always Observed,Always Observed,Mostly Observed,Always Observed,Always Observed,Always Observed,Always Observed,Always Observed,Always Observed,Always Observed,Always Observed,Mostly Observed,Always Observed,Always Observed,Mostly Observed,Mostly Observed,Always Observed,Always Observed,Always Observed,Mostly Observed,Mostly Observed,Always Observed,Always Observed,Always Observed,Mostly Observed,Always Observed,Mostly Observed,Always Observed,Always Observed,Always Observed,Always Observed,Always Observed,Always Observed,Mostly Observed,Always Observed,Always Observed,Fairly Observed,Always Observed,Always Observed,Mostly Observed,Always Observed,Mostly Observed,Always Observed,Always Observed,Always Observed,Mostly Observed,Always Observed,Always Observed,Mostly Observed,Always Observed,Rarely Observed,Mostly Observed,Always Observed,Always Observed,Always Observed,Mostly Observed,Always Observed,Always Observed,Always Observed,Always Observed,Always Observed,Mostly Observed,Always Observed,Always Observed,Mostly Observed,Mostly Observed,Mostly Observed,Always Observed,Fairly Observed,Always Observed,Always Observed,Fairly Observed,Mostly Observed,Fairly Observed,Fairly Observed,Always Observed,Always Observed,Mostly Observed,Mostly Observed,Always Observed,Always Observed,Always Observed,Always Observed,Mostly Observed,Always Observed,Always Observed,Always Observed,Always Observed,Always Observed,Always Observed,Always Observed,Always Observed,Always Observed,Always Observed,Always Observed,Always Observed,Mostly Observed,Always Observed,Always Observed,Always Observed,Always Observed,Always Observed,Mostly Observed,Mostly Observed,Always Observed,Mostly Observed,Always Observed,Mostly Observed,Always Observed,Always Observed,Mostly Observed,Always Observed,Always Observed,Always Observed,Mostly Observed,Always Observed,Always Observed,Mostly Observed,Always Observed,Always Observed,Always Observed,Always Observed,Always Observed,Mostly Observed,Mostly Observed,0.0,26.0,0.0,Maybe Not,,Always,,
Candida parapsilosis,5480,species,,,,,shotgun,,Moderate\xc2\xa0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,,,
Candida tropicalis,5482,species,Maybe Not,Maybe Not,Always,Mesophiles,shotgun,Negative,Moderate\xc2\xa0,,,Sometimes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,Maybe Not,0.18,Always,,
Ceratobasidium cereale,76351,species,,,,,,,,Eukaryota; Fungi; Dikarya; Basidiomycota; Agaricomycotina; Agaricomycetes; Cantharellales; Ceratobasidiaceae; Ceratobasidium,Ceratobasidium cereale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Viruses; dsRNA viruses; Endornaviridae; Alphaendornavirus,Rhizoctonia cerealis alphaendornavirus 1
Ceratobasidium sp.,1768090,species,,,,,,,,Eukaryota; Fungi; Dikarya; Basidiomycota; Agaricomycotina; Agaricomycetes; Cantharellales; Ceratobasidiaceae; Ceratobasidium,Ceratobasidium sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Viruses; dsRNA viruses; Endornaviridae; unclassified Endornaviridae,"Ceratobasidium endornavirus G, Ceratobasidium endornavirus D, Ceratobasidium endornavirus C, Ceratobasidium endornavirus B, Ceratobasidium endornavirus A"
