,scientific_name,counts
429,Agrobacterium phage Atu_ph04,0
430,Agrobacterium phage Atu_ph08,0
431,Agrobacterium phage Milano,0
432,Agrobacterium virus Atuph07,0
433,Agrotis ipsilon multiple nucleopolyhedrovirus,3
434,Agrotis segetum granulovirus,6
435,Agrotis segetum nucleopolyhedrovirus A,2
436,Agrotis segetum nucleopolyhedrovirus B,2
437,Agtrevirus,0
438,Aguacate virus,9
439,Ahduovirus,0
440,Aichivirus A,0
441,Aichivirus B,2
442,Aichivirus C,0
443,Aichivirus D,0
444,Aichivirus E,0
445,Aichivirus F,0
446,Aimelvirus 1,0
447,Aimelvirus 2,2
448,Aimelvirus 3,0
449,Aimelvirus 4,0
450,Aimelvirus 5,0
451,Aimelvirus 6,0
452,Aino orthobunyavirus,0
453,Aiptasia sp. sea anemone associated circular virus,2
454,Air potato virus 1,0
455,Akabane orthobunyavirus,0
456,Akhmeta virus,0
457,Akhtuba virus,0
458,Akodon montensis polyomavirus,2
459,Alagoas vesiculovirus,0
460,Alajuela orthobunyavirus,0
461,Alber virus,0
462,Albetovirus,0
463,Albuca mosaic virus,0
464,Alcea rosea virus 1,0
465,Alcelaphine gammaherpesvirus 1,2
466,Alcelaphine gammaherpesvirus 2,2
467,Alces alces faeces associated circular virus MP65,2
468,Alces alces faeces associated microvirus MP10 5560,2
469,Alces alces faeces associated microvirus MP11 5517,2
470,Alces alces faeces associated microvirus MP12 5423,2
471,Alces alces faeces associated microvirus MP15 5067,2
472,Alces alces faeces associated microvirus MP18 4940,2
473,Alces alces faeces associated microvirus MP21 4718,2
474,Alces alces faeces associated microvirus MP3 6497,2
475,Alces alces faeces associated smacovirus MP78,2
476,Alcube virus,0
477,Alcyoneusvirus,0
478,Alefpapillomavirus,0
479,Alefpapillomavirus 1,0
480,Alethinophid 1 reptarenavirus,0
481,Alethinophid 2 reptarenavirus,0
482,Alethinophid 3 reptarenavirus,0
483,Alfalfa dwarf cytorhabdovirus,0
484,Alfalfa enamovirus 1,2
485,Alfalfa leaf curl virus,2
486,Alfalfa mosaic virus,4
487,Alfalfa virus F,2
488,Alfalfa virus S,2
489,Alfamovirus,0
490,Algerian watermelon mosaic virus,5
491,Alhagi bacilliform virus,0
492,Alkalimonas phage phiMOD2.32-OM,0
493,Alkalimonas phage phiMOD3.20-OM,0
494,Alkalimonas phage phiMOL1.4-NB,0
495,Alkalimonas phage phiMOL1.4-ST,0
496,Alkalimonas phage phiMOM3.2-OM,0
497,Alkalimonas phage phiMOM3.3-MOD2,0
498,Allamanda leaf curl virus,6
499,Allamanda leaf mottle distortion virus,2
500,Allamanda mosaic virus,0
501,Allermuir Hill virus 1,0
502,Allermuir Hill virus 2,0
503,Allermuir Hill virus 3,0
504,Allexivirus,0
505,Allexivirus DS-2013/CZE,0
506,Alliaria petiolata tymovirus,0
507,Allium cepa amalgavirus 1,2
508,Allium cepa amalgavirus 2,2
509,Allium virus X,6
510,Alloherpesviridae,0
511,Allolevivirus,0
512,Allomyrina virus,0
513,Allpahuayo mammarenavirus,2
514,Almendravirus,0
515,Almpiwar sripuvirus,0
516,Alongshan virus,0
517,Alouatta macconnelli cytomegalovirus,0
518,Alouatta palliata cytomegalovirus,0
519,Alouatta seniculus cytomegalovirus,0
520,Alpaca adenovirus CA/2007,0
521,Alpaca adenovirus GBR/3387_02,0
522,Alpaca coronavirus,0
523,Alpaca coronavirus CA08-1/2008,0
524,Alpaca polyomavirus,0
525,Alphaarterivirus,0
526,Alphaarterivirus equid,0
527,Alphabaculovirus,0
528,Alphacarmotetravirus,0
529,Alphacarmovirus,0
530,Alphachrysovirus,0
531,Alphacoronavirus,0
532,Alphacoronavirus 1,0
533,Alphacoronavirus 2,0
534,Alphacoronavirus Bat-CoV/P.kuhlii/Italy/206645-41/2011,0
535,Alphacoronavirus Bat-CoV/P.kuhlii/Italy/206679-3/2010,0
536,Alphacoronavirus Bat-CoV/P.kuhlii/Italy/3398-19/2015,0
537,Alphacoronavirus BtCoV/GrNC1/Neo_cap/RSA/2012,0
538,Alphacoronavirus BtCoV/GrNC2/Neo_cap/RSA/2012,0
539,Alphacoronavirus BtCoV/GrNC3/Neo_cap/RSA/2012,0
540,Alphacoronavirus BtCoV/GrNC4/Neo_cap/RSA/2012,0
541,Alphacoronavirus BtCoV/GrNC5/Neo_cap/RSA/2012,0
542,Alphacoronavirus BtCoV/GrNC6/Neo_cap/RSA/2012,0
543,Alphacoronavirus BtCoV/GrNC7/Neo_cap/RSA/2012,0
544,Alphacoronavirus BtCoV/GrNC8/Neo_cap/RSA/2012,0
545,Alphacoronavirus BtCoV/MSTM2/Min_nat/RSA/2010,0
546,Alphacoronavirus BtCoV/MSTM6/Min_nat/RSA/2010,0
547,Alphacoronavirus BtCoV/NCL_MCO1/Mop_con/RSA/2012,0
548,Alphacoronavirus BtCoV/VH_NC2/Neo_cap/RSA/2012,0
549,Alphacoronavirus Eptesicus fuscus,0
550,Alphacoronavirus Eptesicus fuscus/Appalachian Ridge/P1-239577/IT/USA/2009,0
551,Alphacoronavirus Eptesicus fuscus/Appalachian Ridge/P1-265225/IT/USA/2009,0
552,Alphacoronavirus Eptesicus fuscus/Appalachian Ridge/P1-287740/IT/USA/2009,0
553,Alphacoronavirus Eptesicus fuscus/Appalachian Ridge/P1-293985/IT/USA/2009,0
554,Alphacoronavirus Eptesicus fuscus/Appalachian Ridge/P1-5088/IT/USA/2009,0
555,Alphacoronavirus Eptesicus fuscus/Appalachian Ridge/P1-66604/IT/USA/2009,0
556,Alphacoronavirus Eptesicus fuscus/Appalachian Ridge/P1-C1148/IT/USA/2009,0
557,Alphacoronavirus Eptesicus fuscus/Appalachian Ridge/P1-C146/IT/USA/2009,0
558,Alphacoronavirus Eptesicus fuscus/Appalachian Ridge/P1-C149/IT/USA/2009,0
559,Alphacoronavirus Eptesicus fuscus/Appalachian Ridge/P1-C264/IT/USA/2009,0
560,Alphacoronavirus Eptesicus fuscus/Appalachian Ridge/P1-C265/IT/USA/2009,0
561,Alphacoronavirus Eptesicus fuscus/Appalachian Ridge/P1-C328/IT/USA/2009,0
562,Alphacoronavirus Eptesicus fuscus/Appalachian Ridge/P1-C348/IT/USA/2009,0
563,Alphacoronavirus Eptesicus fuscus/Appalachian Ridge/P1-C362/IT/USA/2009,0
564,Alphacoronavirus Eptesicus fuscus/Appalachian Ridge/P1-C368/IT/USA/2009,0
565,Alphacoronavirus Eptesicus fuscus/Appalachian Ridge/P1-C412/IT/USA/2009,0
566,Alphacoronavirus Eptesicus fuscus/Appalachian Ridge/P1-C414//IT/USA/2009,0
567,Alphacoronavirus Eptesicus fuscus/Appalachian Ridge/P1-C454/IT/USA/2009,0
568,Alphacoronavirus Eptesicus fuscus/Appalachian Ridge/P1-C676/IT/USA/2009,0
569,Alphacoronavirus Eptesicus fuscus/Appalachian Ridge/P1-C837/IT/USA/2009,0
570,Alphacoronavirus Eptesicus fuscus/Appalachian Ridge/P1-replicase/IT/USA/2009,0
571,Alphacoronavirus Eptesicus fuscus/Appalachian Ridge/P2-21252/IT/USA/2009,0
572,Alphacoronavirus Eptesicus fuscus/Appalachian Ridge/P2-C344/IT/USA/2009,0
573,Alphacoronavirus Eptesicus fuscus/Appalachian Ridge/P3-C450/IT/USA/2009,0
574,Alphacoronavirus Eptesicus fuscus/Appalachian Ridge/P3-C766/IT/USA/2009,0
575,Alphacoronavirus H.sav/L/Spain/2007,0
576,Alphacoronavirus L232,0
577,Alphacoronavirus M.bly/B/Spain/2004,0
578,Alphacoronavirus M.dau/H/Spain/2007,0
579,Alphacoronavirus M.myo/I/Spain/2007,0
580,Alphacoronavirus M.sch/A/Spain/2004,0
581,Alphacoronavirus Mink/China/1/2016,0
582,Alphacoronavirus Myotis/13rs384_31/Italy/2012,0
583,Alphacoronavirus N.las/C/Spain/2007,0
584,Alphacoronavirus N.las/D/Spain/2007,0
585,Alphacoronavirus N.las/E/Spain/2007,0
586,Alphacoronavirus N.las/F/Spain/2007,0
587,Alphacoronavirus N.las/G/Spain/2007,0
588,Alphacoronavirus P.kuh/Iprima/Spain/2007,0
589,Alphacoronavirus PLMg1,0
590,Alphacoronavirus Perimyotis subflavus,0
591,Alphacoronavirus Pip1_Cr_FR_2014,0
592,Alphacoronavirus Pip2_Cr_FR_2014,0
593,Alphacoronavirus Pip3_M_FR_2014,0
594,Alphacoronavirus TT-2016a,0
595,Alphacoronavirus TadaridaM4,0
596,Alphacoronavirus Trinidad/1FY2BA/2007,0
597,Alphacoronavirus UKMa1,0
598,Alphacoronavirus UKRn3,0
599,Alphacryptovirus JF-2012,0
600,Alphaentomopoxvirus,0
601,Alphaflexiviridae,0
602,Alphaherpesvirinae,0
603,Alphainfluenzavirus,0
604,Alphairidovirinae,0
605,Alphalipothrixvirus,0
606,Alphamesonivirus,0
607,Alphamesonivirus 1,1
608,Alphamesonivirus 2,0
609,Alphamesonivirus 3,0
610,Alphamesonivirus 4,0
611,Alphamesonivirus 5,0
612,Alphamesonivirus 6,0
613,Alphamesonivirus 7,0
614,Alphamesonivirus 8,0
615,Alphamesonivirus 9,0
616,Alphamononivirus,0
617,Alphanecrovirus,0
618,Alphanemrhavirus,0
619,Alphanodavirus,0
620,Alphanodavirus HB-2007/CHN,0
621,Alphanudivirus,0
622,Alphaovalivirus,0
623,Alphapapillomavirus,0
624,Alphapapillomavirus 1,5
625,Alphapapillomavirus 10,5
626,Alphapapillomavirus 11,5
627,Alphapapillomavirus 12,7
628,Alphapapillomavirus 13,3
629,Alphapapillomavirus 14,3
630,Alphapapillomavirus 2,3
631,Alphapapillomavirus 3,5
632,Alphapapillomavirus 4,6
633,Alphapapillomavirus 5,3
634,Alphapapillomavirus 6,3
635,Alphapapillomavirus 7,5
636,Alphapapillomavirus 8,3
637,Alphapapillomavirus 9,3
638,Alphapartitivirus,0
639,Alphapermutotetravirus,0
640,Alphapleolipovirus,0
641,Alphapolyomavirus,0
642,Alphaportoglobovirus,0
643,Alphaproteobacteria virus phiJl001,2
644,Alpharetrovirus,0
645,Alphasatellite 1,0
646,Alphasatellite 2,0
647,Alphasatellite 3,0
648,Alphasatellitidae,0
649,Alphatectivirus,0
650,Alphatetraviridae,0
651,Alphatorquevirus,0
652,Alphatrevirus,0
653,Alphaturrivirus,0
654,Alphavirus,0
655,Alphavirus HBb17,0
656,Alphavirus JDD-2012,0
