scientific_name,taxonomic_id,rank,atacama_desert___id_10360,hawaii_volcanic_soil___id_1579,panama_soil___id_1716,canadian_metamicrobiome___id_632,serpentinite_hosted_microbiome___id_713,polluted_polar_coastal_sediments___id_1198,mcmurdo_lakes___id_638,great_lake_microbiome___id_1041,global_coral_microbiome_project___id_10895,tara_counts,vulcano_counts,polar_counts,phyllo_counts,panama_counts,lakes_counts,hawaii_counts,costa_counts,air_counts,arabic_counts,thar_counts,antarctic_counts,virus_name,virus_lineage,kegg_genome,kegg_disease,disease,host_name,host_lineage,sample_type,microbe_id,gram_stain,human_disease_causing,antimicrobial_susceptibility,optimal_temperature,extreme_environment,biofilm_forming,optimal_ph,animal_pathogen,spore_forming,pathogenicity,plant_pathogen
Abutilon mosaic virus,10815,species,,,,,,,,,,,,,,,,,,,,,,Abutilon mosaic virus,Viruses; ssDNA viruses; Geminiviridae; Begomovirus,,,,"Sida, Callianthe sellowiana, Abutilon, Gossypium hirsutum, Phaseolus vulgaris, Hibiscus, Malva","Eukaryota; Viridiplantae; Streptophyta; Streptophytina; Malvales; Malvaceae; Malvoideae; Gossypium, Eukaryota; Viridiplantae; Streptophyta; Streptophytina; Malvales; Malvaceae; Malvoideae; Callianthe, Eukaryota; Viridiplantae; Streptophyta; Streptophytina; Fabales; Fabaceae; Papilionoideae; Phaseoleae; Phaseolus, Eukaryota; Viridiplantae; Streptophyta; Streptophytina; Malvales; Malvaceae; Malvoideae",,5370.0,,Maybe,Maybe Not,,Mesophiles,,,Maybe Not,,,Sometimes
Abutilon yellow mosaic virus,515303,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abutilon yellows virus,169102,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Academ virus,2563836,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadianvirus,1982897,genus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acalypha yellow mosaic Siliguri virus,1148153,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acalypha yellow mosaic virus,219300,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acanthamoeba castellanii mamavirus,554168,species,,,,,,,,,,,,,,,,,,,,,,Acanthamoeba castellanii mamavirus,"Viruses; dsDNA viruses, no RNA stage; Mimiviridae; Mimivirus; unclassified Mimivirus",,,,Acanthamoeba castellanii,Eukaryota; Longamoebia; Acanthamoebidae; Acanthamoeba,,,,,,,,,,,,,
Acanthamoeba castellanii medusavirus,2080449,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acanthamoeba castellanii mimivirus,1899318,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acanthamoeba polyphaga lentillevirus,1077221,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acanthamoeba polyphaga mimivirus,212035,species,,,,,,,,,,,,,,,,,,,,,,Acanthamoeba polyphaga mimivirus,"Viruses; dsDNA viruses, no RNA stage; Mimiviridae; Mimivirus",,,,"Acanthamoeba castellanii, Acanthamoeba polyphaga",Eukaryota; Longamoebia; Acanthamoebidae; Acanthamoeba,,1878.0,Positive,Maybe,Maybe Not,,Extremophile,,,Sometimes,,,Sometimes
Acanthamoeba polyphaga moumouvirus,1269028,species,,,,,,,,,,,,,,,,,,,,,,Acanthamoeba polyphaga moumouvirus,"Viruses; dsDNA viruses, no RNA stage; Mimiviridae; Mimivirus; unclassified Mimivirus",,,,Acanthamoeba polyphaga,Eukaryota; Longamoebia; Acanthamoebidae; Acanthamoeba,,,,,,,,,,,,,
Acanthocystis turfacea Chlorella virus Br0604L,1278268,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acanthocystis turfacea Chlorella virus Can0610SP,1278269,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acanthocystis turfacea Chlorella virus Canal-1,1278270,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acanthocystis turfacea Chlorella virus GM0701.1,1278271,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acanthocystis turfacea Chlorella virus MN0810.1,1278272,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acanthocystis turfacea Chlorella virus MO0605SPH,1278273,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acanthocystis turfacea Chlorella virus NE-JV-2,1278274,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acanthocystis turfacea Chlorella virus NE-JV-3,1278275,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acanthocystis turfacea Chlorella virus NTS-1,1278276,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acanthocystis turfacea Chlorella virus OR0704.3,1278277,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acanthocystis turfacea Chlorella virus TN603.4.2,1278278,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acanthocystis turfacea Chlorella virus WI0606,1278279,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acanthocystis turfacea chlorella virus 1,322019,species,,,,,,,,,,,,,,,,,,,,,,Acanthocystis turfacea chlorella virus 1,"Viruses; dsDNA viruses, no RNA stage; Phycodnaviridae; Chlorovirus",,,,Chlorella heliozoae,Eukaryota; Viridiplantae; Chlorophyta; Trebouxiophyceae; Chlorellales; Chlorellaceae; Chlorella,,,,,,,,,,,,,
Acanthurus bariene nervous necrosis virus,670523,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acanthurus dussumieri iridovirus,670555,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acartia tonsa copepod circovirus,1168547,species,,,,,,,,,,,,,,,,,,,,,,Acartia tonsa copepod circovirus,Viruses; ssDNA viruses; Circoviridae; Circovirus; unclassified Circovirus,,,,Acartia tonsa,Eukaryota; Metazoa; Arthropoda; Crustacea; Multicrustacea; Hexanauplia; Copepoda; Neocopepoda; Gymnoplea; Calanoida; Acartiidae; Acartia,,5210.0,,Maybe,Maybe Not,,,Never,,,Never,,Maybe Not
Acaryochloris phage A-HIS1,645116,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acaryochloris phage A-HIS2,645117,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ace Lake Mavirus,1303673,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acerodon celebensis polyomavirus 1,1891717,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acerodon celebensis polyomavirus 2,1891757,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acetes erythraeus iridovirus,449721,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acetobacter phage Acm1,33709,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Achaea faber nucleopolyhedrovirus,2282487,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Achaea janata granulovirus,262174,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acheta domesticus virus,336634,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acheta domesticus volvovirus,1291515,species,,,,,,,,,,,,,,,,,,,,,,Acheta domesticus volvovirus,Viruses; ssDNA viruses; unclassified ssDNA viruses; Volvovirus,,,,Acheta domesticus,Eukaryota; Metazoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Polyneoptera; Orthoptera; Ensifera; Gryllidea; Grylloidea; Gryllidae; Gryllinae; Acheta,,4483.0,,Maybe,,,Mesophiles,,,Sometimes,,,Maybe Not
Achimota pararubulavirus 1,2560259,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Achimota pararubulavirus 2,2560260,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Achimota rubulavirus 1,1979157,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Achimota rubulavirus 2,1979158,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acholeplasma virus L2,46014,species,,,,,,,,,,,,,,,,,,,,,,Acholeplasma virus L2,"Viruses; dsDNA viruses, no RNA stage; Plasmaviridae; Plasmavirus",,,,Acholeplasma laidlawii,Bacteria; Tenericutes; Mollicutes; Acholeplasmatales; Acholeplasmataceae; Acholeplasma,,,,,,,,,,,,,
Acholeplasma virus L51,2170098,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Achromobacter phage JWDelta,1416008,species,,,,,,,,,,,,,,,,,,,,,,Achromobacter phage JWDelta,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Podoviridae; Jwalphavirus; unclassified Jwalphavirus",,,,Achromobacter xylosoxidans,Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Alcaligenaceae; Achromobacter,,,,,,,,,,,,,
Achromobacter phage JWF,1589748,species,,,,,,,,,,,,,,,,,,,,,,Achromobacter phage JWF,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae; unclassified Siphoviridae",,,,Achromobacter xylosoxidans,Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Alcaligenaceae; Achromobacter,,,,,,,,,,,,,
Achromobacter phage phiAxp-1,1610509,species,,,,,,,,,,,,,,,,,,,,,,Achromobacter phage phiAxp-1,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae; unclassified Siphoviridae",,,,"Achromobacter, Achromobacter xylosoxidans","Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Alcaligenaceae; Achromobacter, Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Alcaligenaceae",,,,,,,,,,,,,
Achromobacter phage phiAxp-2,1664246,species,,,,,,,,,,,,,,,,,,,,,,Achromobacter phage phiAxp-2,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae; unclassified Siphoviridae",,,,Achromobacter xylosoxidans,Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Alcaligenaceae; Achromobacter,,,,,,,,,,,,,
Achromobacter virus 83-24,1982228,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Achromobacter virus Axp3,2169962,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Achromobacter virus JWAlpha,2169963,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Achromobacter virus JWX,1982229,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acidianus bottle-shaped virus,437444,species,,,,,,,,,,,,,,,,,,,,,,Acidianus bottle-shaped virus,"Viruses; dsDNA viruses, no RNA stage; Ampullaviridae; Ampullavirus",,,,Acidianus convivator,Archaea; Crenarchaeota; Thermoprotei; Sulfolobales; Sulfolobaceae; Acidianus,,,,,,,,,,,,,
Acidianus bottle-shaped virus 2,1732173,species,,,,,,,,,,,,,,,,,,,,,,Acidianus bottle-shaped virus 2,"Viruses; dsDNA viruses, no RNA stage; Ampullaviridae; Ampullavirus; unclassified Ampullavirus",,,,Sulfolobales,Archaea; Crenarchaeota; Thermoprotei,,,,,,,,,,,,,
Acidianus bottle-shaped virus 3,1732174,species,,,,,,,,,,,,,,,,,,,,,,Acidianus bottle-shaped virus 3,"Viruses; dsDNA viruses, no RNA stage; Ampullaviridae; Ampullavirus; unclassified Ampullavirus",,,,Sulfolobales,Archaea; Crenarchaeota; Thermoprotei,,,,,,,,,,,,,
Acidianus filamentous virus 1,235266,species,,,,,,,,,,,,,,,,,,,,,,Acidianus filamentous virus 1,"Viruses; dsDNA viruses, no RNA stage; Ligamenvirales; Lipothrixviridae; Gammalipothrixvirus",,,,"Acidianus infernus, Acidianus hospitalis",Archaea; Crenarchaeota; Thermoprotei; Sulfolobales; Sulfolobaceae; Acidianus,,7074.0,,,,,Mesophiles,,,,,,
Acidianus filamentous virus 2,300186,species,,,,,,,,,,,,,,,,,,,,,,Acidianus filamentous virus 2,"Viruses; dsDNA viruses, no RNA stage; Ligamenvirales; Lipothrixviridae; Deltalipothrixvirus",,,,"Acidianus pozzuoliensis, Acidianus sp. F28",Archaea; Crenarchaeota; Thermoprotei; Sulfolobales; Sulfolobaceae; Acidianus,,7042.0,,,,,Mesophiles,,,,,,
Acidianus filamentous virus 3,346881,species,,,,,,,,,,,,,,,,,,,,,,Acidianus filamentous virus 3,"Viruses; dsDNA viruses, no RNA stage; Ligamenvirales; Lipothrixviridae; Betalipothrixvirus",,,,Acidianus,Archaea; Crenarchaeota; Thermoprotei; Sulfolobales; Sulfolobaceae,,7168.0,,,,,,,,,,,
Acidianus filamentous virus 6,346882,species,,,,,,,,,,,,,,,,,,,,,,Acidianus filamentous virus 6,"Viruses; dsDNA viruses, no RNA stage; Ligamenvirales; Lipothrixviridae; Betalipothrixvirus",,,,Acidianus convivator,Archaea; Crenarchaeota; Thermoprotei; Sulfolobales; Sulfolobaceae; Acidianus,,4478.0,,,,,,,,,,,
Acidianus filamentous virus 7,346883,species,,,,,,,,,,,,,,,,,,,,,,Acidianus filamentous virus 7,"Viruses; dsDNA viruses, no RNA stage; Ligamenvirales; Lipothrixviridae; Betalipothrixvirus",,,,Acidianus convivator,Archaea; Crenarchaeota; Thermoprotei; Sulfolobales; Sulfolobaceae; Acidianus,,5318.0,,,,,,,,,,,
Acidianus filamentous virus 8,346884,species,,,,,,,,,,,,,,,,,,,,,,Acidianus filamentous virus 8,"Viruses; dsDNA viruses, no RNA stage; Ligamenvirales; Lipothrixviridae; Betalipothrixvirus",,,,Acidianus convivator,Archaea; Crenarchaeota; Thermoprotei; Sulfolobales; Sulfolobaceae; Acidianus,,1118.0,,,,,,,,,,,
Acidianus filamentous virus 9,512792,species,,,,,,,,,,,,,,,,,,,,,,Acidianus filamentous virus 9,"Viruses; dsDNA viruses, no RNA stage; Ligamenvirales; Lipothrixviridae; Betalipothrixvirus",,,,Acidianus uzoniensis,Archaea; Crenarchaeota; Thermoprotei; Sulfolobales; Sulfolobaceae; Acidianus,,119.0,,,,,,,,,,,
Acidianus rod-shaped virus 1,309181,species,,,,,,,,,,,,,,,,,,,,,,Acidianus rod-shaped virus 1,"Viruses; dsDNA viruses, no RNA stage; Ligamenvirales; Rudiviridae; Rudivirus",,,,Acidianus sp. Acii26,Archaea; Crenarchaeota; Thermoprotei; Sulfolobales; Sulfolobaceae; Acidianus,,,,,,,,,,,,,
Acidianus rod-shaped virus 2,1732175,species,,,,,,,,,,,,,,,,,,,,,,Acidianus rod-shaped virus 2,"Viruses; dsDNA viruses, no RNA stage; Ligamenvirales; Rudiviridae; Rudivirus; unclassified Rudivirus",,,,Sulfolobales,Archaea; Crenarchaeota; Thermoprotei,,,,,,,,,,,,,
Acidianus spindle-shaped virus 1,693629,species,,,,,,,,,,,,,,,,,,,,,,Acidianus spindle-shaped virus 1,"Viruses; dsDNA viruses, no RNA stage; Fuselloviridae; Betafusellovirus",,,,Acidianus brierleyi,Archaea; Crenarchaeota; Thermoprotei; Sulfolobales; Sulfolobaceae; Acidianus,,,,,,,,,,,,,
Acidianus tailed spindle virus,1797140,species,,,,,,,,,,,,,,,,,,,,,,Acidianus tailed spindle virus,"Viruses; dsDNA viruses, no RNA stage; Bicaudaviridae; unclassified Bicaudaviridae",,,,"Acidianus sp., Acidianus","Archaea; Crenarchaeota; Thermoprotei; Sulfolobales; Sulfolobaceae; Acidianus, Archaea; Crenarchaeota; Thermoprotei; Sulfolobales; Sulfolobaceae",,,,,,,,,,,,,
Acidianus two-tailed virus,315953,species,,,,,,,,,,,,,,,,,,,,,,Acidianus two-tailed virus,"Viruses; dsDNA viruses, no RNA stage; Bicaudaviridae; Bicaudavirus",,,,Acidianus convivator,Archaea; Crenarchaeota; Thermoprotei; Sulfolobales; Sulfolobaceae; Acidianus,,,,,,,,,,,,,
Acidianus two-tailed virus 2,1898549,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acidianus two-tailed virus variant 1,1898550,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acidithiobacillus phage AcaML1,1229761,species,,,,,,,,,,,,,,,,,,,,,,Acidithiobacillus phage AcaML1,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae; unclassified Myoviridae",,,,Acidithiobacillus caldus ATCC 51756,Bacteria; Proteobacteria; Acidithiobacillia; Acidithiobacillales; Acidithiobacillaceae; Acidithiobacillus,,,,,,,,,,,,,
Acidovorax phage ACPWH,2301642,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acidovorax virus ACP17,2560261,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acinetobacter phage ABP-01,1444758,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acinetobacter phage ABP-04,1444759,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acinetobacter phage ABPH49,2282400,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acinetobacter phage ABPK48-2,2483772,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acinetobacter phage AJO1,1917452,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acinetobacter phage AJO2,2315465,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acinetobacter phage AM106,2163986,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acinetobacter phage AM24,1913571,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acinetobacter phage AP205,154784,species,,,,,,,,,,,,,,,,,,,,,,Acinetobacter phage AP205,"Viruses; ssRNA viruses; ssRNA positive-strand viruses, no DNA stage; Leviviridae; unclassified Leviviridae",,,,"Acinetobacter, Acinetobacter genomosp. 16BJ","Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Moraxellaceae, Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Moraxellaceae; Acinetobacter",,7167.0,,Maybe,,,Mesophiles,,,Maybe Not,,,Maybe Not
Acinetobacter phage Ab105-1phi,1718840,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acinetobacter phage Ab105-2phi,1718841,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acinetobacter phage Ab105-3phi,1718842,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acinetobacter phage AbKT21phiIII,2500826,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acinetobacter phage AbTJ,2507835,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acinetobacter phage AbTZA1,2500827,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acinetobacter phage Abp53,1092848,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acinetobacter phage Ac42,762660,species,,,,,,,,,,,,,,,,,,,,,,Acinetobacter phage Ac42,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae; Tevenvirinae; unclassified Tevenvirinae",,,,Acinetobacter,Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Moraxellaceae,,7417.0,,,,,Mesophiles,Never,,Maybe Not,Never,,Maybe Not
Acinetobacter phage Acj61,760732,species,,,,,,,,,,,,,,,,,,,,,,Acinetobacter phage Acj61,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae; Tevenvirinae; unclassified Tevenvirinae",,,,Acinetobacter johnsonii,Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Moraxellaceae; Acinetobacter,,2674.0,,,,,Mesophiles,Never,,Maybe Not,Never,,Maybe Not
Acinetobacter phage Acj9,760939,species,,,,,,,,,,,,,,,,,,,,,,Acinetobacter phage Acj9,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae; Tevenvirinae; unclassified Tevenvirinae",,,,Acinetobacter johnsonii,Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Moraxellaceae; Acinetobacter,,6557.0,,,,,Mesophiles,Never,,Maybe Not,Never,,Maybe Not
Acinetobacter phage Bphi-B1251,1221835,species,,,,,,,,,,,,,,,,,,,,,,Acinetobacter phage Bphi-B1251,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae; unclassified Siphoviridae",,,,"Acinetobacter, Acinetobacter baumannii","Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Moraxellaceae; Acinetobacter; Acinetobacter calcoaceticus/baumannii complex, Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Moraxellaceae",,,,,,,,,,,,,
Acinetobacter phage Henu6,2500136,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
