scientific_name,taxonomic_id,rank,air_counts,alfisols,andisols,animal_pathogen,antarctic_counts,antimicrobial_susceptibility,arabic_counts,atacama_desert___id_10360,biofilm_forming,canadian_metamicrobiome___id_632,costa_counts,depth/altitude,drylands,entisols,extreme_environment,gelisols,genome_availability,global_coral_microbiome_project___id_10895,gram_stain,great_lake_microbiome___id_1041,hawaii_counts,hawaii_volcanic_soil___id_1579,high_ph,host_lineage,host_name,human_disease_causing,human_microbiome_body_site,inceptisols,lakes_counts,latitude,longitude,low_ph,low_productivity,mcmurdo_lakes___id_638,microbe_id,mollisols,optimal_ph,optimal_temperature,panama_counts,panama_soil___id_1716,pathogenicity,phyllo_counts,plant_pathogen,polar_counts,polluted_polar_coastal_sediments___id_1198,salinity_concentration/range(w/v),sand_rock_ice,serpentinite_hosted_microbiome___id_713,spore_forming,tara_counts,thar_counts,trophic_level,ultisols,vertisols,virus_lineage,virus_name,vulcano_counts
Acetobacter calcoaceticus,28899,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acetobacter cerevisiae,178900,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acetobacter cibinongensis,146475,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acetobacter estunensis,104097,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acetobacter fabarum,483199,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acetobacter farinalis,1260984,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acetobacter ghanensis,431306,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acetobacter indonesiensis,104101,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acetobacter lambici,1332824,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acetobacter lovaniensis,104100,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acetobacter malorum,178901,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acetobacter musti,864732,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acetobacter nitrogenifigens,285268,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acetobacter oeni,304077,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acetobacter okinawensis,1076594,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acetobacter orientalis,146474,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acetobacter orleanensis,104099,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acetobacter oryzifermentans,1633874,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acetobacter papayae,1076592,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acetobacter pasteurianus,438,species,,,,Maybe Not,,,,,,,,,,,Mesophiles,,,,Negative,,,,,,,,,,,,,,,,4104.0,,,,,,,,Maybe Not,,,,,,,,,,,,,,
Acetobacter peroxydans,104098,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acetobacter persici,1076596,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acetobacter pomorum,65959,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acetobacter senegalensis,446692,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acetobacter sicerae,85325,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acetobacter subgen. Acetobacter,151157,subgenus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acetobacter suratthaniensis,1502841,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acetobacter syzygii,146476,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acetobacter thailandicus,1502842,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acetobacter tropicalis,104102,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acetobacteraceae,433,family,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acetobacteraceae bacterium AT-5844,1054213,species,,,,,,,,,,,,,,,,,,,,,,,,,,,skin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acetobacterium,33951,genus,0.0,,,,0.0,,0.0,0.0,,0.0,0.0,,,,,,,0.0,,0.0,4.0,0.0,,,,,,,2.0,,,,,0.0,,,,,0.0,0.0,,0.0,,220.0,4.0,,,0.0,,0.0,0.0,,,,,,8.0
Acetobacterium woodii,33952,species,,0.0,0.0,Maybe Not,,,,,,,,,,0.0,,0.0,,,Positive,,,,,,,,,8.0,,,,,,,1318.0,0.0,,,,,,,,,,,0.0,,Never,,,,0.0,0.0,,,
Acetobacteroides,1647173,genus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acetobacteroides hydrogenigenes,979970,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acetofilamentum,558418,genus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acetofilamentum rigidum,1653170,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acetohalobium,28186,genus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acetohalobium arabaticum,28187,species,,,,,,,,,,,,,,,Extremophile,,complete genome,,Positive,,,,,,,,,,,,,,,,4646.0,,7.8,,,,,,,,,"25%, 10% - 25% (optimum 20% - 25%)",,,,,,,,,,,
Acetomicrobium,49894,genus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acetomicrobium flavidum,49896,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acetomicrobium hydrogeniformans,649746,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acetomicrobium mobile,97477,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acetomicrobium thermoterrenum,1120986,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acetonema,2373,genus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acetonema longum,2374,species,,,,,,,,,,,,,,,Mesophiles,,,,Negative,,,,,,,Maybe,,,,,,,,,6281.0,,7.8,31.5,,,1.0,,,,,,,,Always,,,,,,,,
Acetothermus,558421,genus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acetothermus paucivorans,1653171,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acholeplasma,2147,genus,0.0,,,,0.0,,0.0,0.0,,0.0,0.0,,,,,,,0.0,,0.0,0.0,2.0,,,,,,,0.0,,,,,0.0,,,,,0.0,0.0,,0.0,,11101.0,2.0,,,306.0,,252.0,0.0,,,,,,0.0
Acholeplasma axanthum,29552,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acholeplasma brassicae,61635,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acholeplasma cavigenitalium,264633,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acholeplasma equifetale,264634,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acholeplasma granularum,264635,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acholeplasma hippikon,264636,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acholeplasma laidlawii,2148,species,,,,,,,,,,,,,,,Mesophiles,,,,,,,,,Bacteria; Tenericutes; Mollicutes; Acholeplasmatales; Acholeplasmataceae; Acholeplasma,Acholeplasma laidlawii,,,,,,,,,,3238.0,,,,,,2.0,,,,,,,,,,,,,,"Viruses; ssDNA viruses; Inoviridae; Plectrovirus; Acholeplasma virus L51, Viruses; dsDNA viruses, no RNA stage; Plasmaviridae; Plasmavirus","Acholeplasma virus MV-L51, Acholeplasma virus L2",
Acholeplasma manati,591373,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acholeplasma modicum,2150,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acholeplasma morum,264637,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acholeplasma multilocale,264638,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acholeplasma oculi,35623,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acholeplasma palmae,38986,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acholeplasma parvum,264639,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acholeplasma pleciae,228419,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acholeplasma vituli,69473,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acholeplasmataceae,2146,family,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acholeplasmatales,186329,order,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Achromatium,44937,genus,0.0,,,,0.0,,0.0,0.0,,0.0,0.0,,,,,,,0.0,,0.0,0.0,0.0,,,,,,,0.0,,,,,0.0,,,,,0.0,0.0,,0.0,,0.0,0.0,,,0.0,,10.0,0.0,,,,,,0.0
Achromatium minus,81840,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Achromatium oxaliferum,44938,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Achromobacter,222,genus,0.0,,,,1268.0,,0.0,0.0,,0.0,3.0,,,,,,,0.0,,0.0,0.0,0.0,,Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Alcaligenaceae,Achromobacter,,,,0.0,,,,,0.0,,,,,3.0,0.0,,0.0,,5.0,0.0,,,0.0,,5631.0,0.0,,,,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae; unclassified Siphoviridae",Achromobacter phage phiAxp-1,0.0
Achromobacter aegrifaciens,1287736,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Achromobacter agile,1783500,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Achromobacter agilis,1353888,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Achromobacter aloeverae,1750518,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Achromobacter animicus,1389935,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Achromobacter anxifer,1287737,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Achromobacter arsenitoxydans,1147684,species,,,,,,,,,,,,,,,,,,,Negative,,,,,,,,,,,,,,,,3044.0,,,,,,,,,,,,,,,,,,,,,,
Achromobacter cholinophagum,1114982,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Achromobacter clevelandea,418040,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Achromobacter cycloclastes,223,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Achromobacter deleyi,1353891,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Achromobacter denitrificans,32002,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Achromobacter dolens,1287738,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Achromobacter insuavis,1287735,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Achromobacter kerstersii,1353890,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Achromobacter lyticus,224,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Achromobacter marplatensis,470868,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Achromobacter mucicolens,1389922,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Achromobacter obae,37486,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Achromobacter pestifer,1353889,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Achromobacter piechaudii,72556,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6168.0,,,,,,2.0,,,,,,,,,,,,,,,,
Achromobacter pulmonis,1389932,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Achromobacter ruhlandii,72557,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Achromobacter xylosoxidans,85698,species,,483.0,0.0,,,,,,,,,,,0.0,,0.0,,,Negative,,,,,Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Alcaligenaceae; Achromobacter,Achromobacter xylosoxidans,,,0.0,,,,,,,1244.0,671.0,,,,,2.0,,,,,,2.0,,,,,,0.0,99.0,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Podoviridae; Jwalphavirus; unclassified Jwalphavirus, Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae; unclassified Siphoviridae, Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae; Jwxvirus; Achromobacter virus 83-24, Viruses; dsDNA viruses, no RNA stage; Caudovirales; Podoviridae; Jwalphavirus; Achromobacter virus JWAlpha, Viruses; dsDNA viruses, no RNA stage; Caudovirales; Podoviridae; Jwalphavirus; Achromobacter virus Axp3, Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae; Jwxvirus; Achromobacter virus JWX","Achromobacter phage JWDelta, Achromobacter phage JWAlpha, Achromobacter phage 83-24, Achromobacter phage phiAxp-3, Achromobacter phage phiAxp-1, Achromobacter phage phiAxp-2, Achromobacter phage JWX, Achromobacter phage JWF",
Acidaminobacter,65402,genus,0.0,,,,0.0,,0.0,0.0,,0.0,0.0,,,,,,,0.0,,0.0,7.0,0.0,,,,,,,0.0,,,,,0.0,,,,,0.0,0.0,,0.0,,396.0,0.0,,,0.0,,11.0,0.0,,,,,,0.0
Acidaminobacter hydrogenoformans,65403,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acidaminococcaceae,909930,family,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acidaminococcales,1843488,order,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acidaminococcus,904,genus,0.0,,,,0.0,,0.0,0.0,,0.0,0.0,,,,,,,0.0,,0.0,0.0,2.0,,,,,,,0.0,,,,,0.0,,,,,0.0,0.0,,0.0,,4.0,3.0,,,0.0,,1.0,0.0,,,,,,0.0
Acidaminococcus fermentans,905,species,,,,,,Sometimes,,,,,,,,,Mesophiles,,,,Negative,,,,,,,Sometimes,,,,,,,,,1704.0,,7.0,33.5,,,2.0,,,,,,,,Never,,,,,,,,
Acidaminococcus intestini,187327,species,,,,,,,,,,,,,,,Mesophiles,,,,Negative,,,,,,,Sometimes,,,,,,,,,7182.0,,,37.0,,,2.0,,,,,,,,Never,,,,,,,,
Acidaminococcus intestini CAG:325,1263033,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acidaminococcus provencensis,2058289,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acidaminococcus sp. BV3L6,1111120,species,,,,,,,,,,,,,,,,,,,,,,,,,,,not-specified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acidaminococcus sp. HPA0509,1203555,species,,,,,,,,,,,,,,,,,,,,,,,,,,,not-specified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
