Organism,Human Microbiome Body Site
Actinomyces sp. ICM58,not-specified
Actinomyces sp. oral taxon 170 F0386,oral
Actinomyces sp. oral taxon 171 F0337,oral
Actinomyces sp. oral taxon 172 F0311,not-specified
Actinomyces sp. oral taxon 175 F0384,oral
Actinomyces sp. oral taxon 178 F0338,oral
Actinomyces sp. oral taxon 180 F0310,oral
Actinomyces sp. oral taxon 181 F0379,oral
Actinomyces sp. oral taxon 448 F0400,oral
Actinomyces sp. oral taxon 848 F0332,oral
Actinomyces sp. oral taxon 849 F0330,oral
Actinomyces sp. oral taxon 877 F0543,not-specified
Actinomyces sp. S4-C9,urogenital-tract
Actinomyces sp. S6-Spd3,urogenital-tract
Actinomyces timonensis DSM 23838,not-specified
Actinomyces turicensis ACS-279-V-Col4,urogenital-tract
Actinomyces urogenitalis DSM 15434,urogenital-tract
Actinomyces urogenitalis S6-C4,urogenital-tract
Actinomyces viscosus C505,airways
Actinotignum schaalii,blood
Actinotignum schaalii FB123-CNA-2,not-specified
Actinotignum urinale DSM 15805,not-specified
Aerococcus christensenii KA00635,urogenital-tract
Aerococcus sanguinicola CCUG43001,blood
Aerococcus sp. HMSC035B07,urogenital-tract
Aerococcus sp. HMSC061A03,urogenital-tract
Aerococcus sp. HMSC062A02,not-specified
Aerococcus sp. HMSC062B07,not-specified
Aerococcus sp. HMSC06H08,urogenital-tract
Aerococcus sp. HMSC072A12,urogenital-tract
Aerococcus sp. HMSC075D05,urogenital-tract
Aerococcus sp. HMSC10H05,urogenital-tract
Aerococcus sp. HMSC23C02,urogenital-tract
Aerococcus urinae ACS-120-V-Col10a,urogenital-tract
Aerococcus urinaehominis CCUG42038B,not-specified
Aerococcus viridans ATCC 11563,urogenital-tract
Aeromicrobium marinum DSM 15272,oral
Aeromonas diversa CDC 2478-85,not-specified
Aeromonas hydrophila AHNIH1,not-specified
Aeromonas hydrophila SSU,gastrointestinal-tract
Aeromonas veronii AER39,blood
Aeromonas veronii AER397,blood
Aeromonas veronii AMC34,gastrointestinal-tract
Aeromonas veronii AMC35,skin
Afipia broomeae ATCC 49717,not-specified
Afipia clevelandensis ATCC 49720,bone
Afipia felis ATCC 53690,lymph-nodes
Aggregatibacter actinomycetemcomitans ANH9381,not-specified
Aggregatibacter actinomycetemcomitans Y4,oral
Aggregatibacter aphrophilus F0387,oral
Aggregatibacter segnis ATCC 33393,oral
Aggregatibacter sp. oral taxon 458 W10330,not-specified
Akkermansia sp. KLE1605,gastrointestinal-tract
Akkermansia sp. KLE1797,"not-specified, gastrointestinal-tract"
Akkermansia sp. KLE1798,"not-specified, gastrointestinal-tract"
Alistipes finegoldii DSM 17242,not-specified
Alistipes indistinctus YIT 12060,gastrointestinal-tract
Alistipes putredinis DSM 17216,gastrointestinal-tract
Alistipes putredinis DSM 17216,gastrointestinal-tract
Alistipes senegalensis JC50,not-specified
Alistipes sp. HGB5,gastrointestinal-tract
Alistipes timonensis P148,not-specified
Alloiococcus otitis ATCC 51267,ear
Alloprevotella rava F0323,oral
Alloprevotella tannerae ATCC 51259,oral
Alloscardovia omnicolens CMW7705A,urogenital-tract
Alloscardovia omnicolens F0580,not-specified
Alloscardovia omnicolens F0580,not-specified
Alloscardovia sp. HMSC034E08,not-specified
Anaerococcus hydrogenalis ACS-025-V-Sch4,urogenital-tract
Anaerococcus hydrogenalis DSM 7454,gastrointestinal-tract
Anaerococcus hydrogenalis DSM 7454,gastrointestinal-tract
Anaerococcus hydrogenalis MJR7738A,urogenital-tract
Anaerococcus lactolyticus ATCC 51172,urogenital-tract
Anaerococcus lactolyticus ATCC 51172,urogenital-tract
Anaerococcus lactolyticus S7-1-13,urogenital-tract
Anaerococcus prevotii ACS-065-V-Col13,urogenital-tract
Anaerococcus sp. HMSC065G05,not-specified
Anaerococcus sp. HMSC068A02,not-specified
Anaerococcus sp. HMSC075B03,not-specified
Anaerococcus tetradius ATCC 35098,urogenital-tract
Anaerococcus tetradius MJR8151,urogenital-tract
Anaerococcus vaginalis ATCC 51170,skin
Anaerofustis stercorihominis DSM 17244,gastrointestinal-tract
Anaerofustis stercorihominis DSM 17244,gastrointestinal-tract
Anaeroglobus geminatus F0357,oral
Anaerosphaera sp. HMSC064C01,not-specified
Anaerostipes caccae 3_2_56FAA,gastrointestinal-tract
Anaerostipes caccae DSM 14662,gastrointestinal-tract
Anaerostipes caccae DSM 14662,gastrointestinal-tract
Anaerostipes hadrus DSM 3319,gastrointestinal-tract
Anaerotruncus colihominis DSM 17241,gastrointestinal-tract
Anaerotruncus colihominis DSM 17241,gastrointestinal-tract
Aneurinibacillus aneurinilyticus ATCC 12856,gastrointestinal-tract
Aneurinibacillus aneurinilyticus ATCC 12856,gastrointestinal-tract
Arcanobacterium sp. S3PF19,urogenital-tract
Arcobacter butzleri JV22,gastrointestinal-tract
Arthrobacter sanguinis DSM 21259,blood
Arthrobacter sp. HMSC06H05,urogenital-tract
Arthrobacter sp. HMSC08H08,urogenital-tract
Atopobium deltae DNF00019,urogenital-tract
Atopobium minutum 10063974,not-specified
Atopobium parvulum DNF00906,urogenital-tract
Atopobium rimae ATCC 49626,oral
Atopobium sp. BS2,not-specified
Atopobium sp. BV3Ac4,not-specified
Atopobium sp. HMSC064B08,not-specified
Atopobium sp. ICM42b,not-specified
Atopobium sp. oral taxon 199 F0494,not-specified
Atopobium sp. oral taxon 810 F0209,not-specified
Atopobium vaginae CMW7778A,urogenital-tract
Atopobium vaginae DSM 15829,urogenital-tract
Atopobium vaginae PB189-T1-4,urogenital-tract
Bacillus cereus B4264,not-specified
Bacillus coagulans GED7749B,urogenital-tract
Bacillus niacini F8,gastrointestinal-tract
Bacillus smithii 7_3_47FAA,gastrointestinal-tract
Bacillus sp. 2_A_57_CT2,oral
Bacillus sp. 7_6_55CFAA_CT2,gastrointestinal-tract
Bacillus sp. BT1B_CT2,oral
Bacillus sp. HMSC036E02,not-specified
Bacillus sp. HMSC76G11,bone
Bacillus thermoamylovorans,not-specified
Bacillus timonensis,not-specified
Bacteroidales bacterium KA00251,urogenital-tract
Bacteroidales bacterium KA00344,urogenital-tract
Bacteroides caccae ATCC 43185,gastrointestinal-tract
Bacteroides caccae CL03T12C61,not-specified
Bacteroides cellulosilyticus CL02T12C19,not-specified
Bacteroides cellulosilyticus DSM 14838,gastrointestinal-tract
Bacteroides cellulosilyticus KLE1257,"not-specified, gastrointestinal-tract"
Bacteroides clarus YIT 12056,gastrointestinal-tract
Bacteroides coprocola DSM 17136,gastrointestinal-tract
Bacteroides coprocola DSM 17136,gastrointestinal-tract
Bacteroides coprophilus DSM 18228,gastrointestinal-tract
Bacteroides coprophilus DSM 18228 = JCM 13818,gastrointestinal-tract
Bacteroides dorei 5_1_36/D4,gastrointestinal-tract
Bacteroides dorei CL02T00C15,not-specified
Bacteroides dorei CL02T12C06,not-specified
Bacteroides dorei CL03T12C01,not-specified
Bacteroides dorei DSM 17855,gastrointestinal-tract
Bacteroides eggerthii 1_2_48FAA,gastrointestinal-tract
Bacteroides eggerthii 1_2_48FAA,gastrointestinal-tract
Bacteroides eggerthii DSM 20697,gastrointestinal-tract
Bacteroides finegoldii CL09T03C10,not-specified
Bacteroides finegoldii CL09T03C10,not-specified
Bacteroides finegoldii DSM 17565,gastrointestinal-tract
Bacteroides fluxus YIT 12057,gastrointestinal-tract
Bacteroides fluxus YIT 12057,gastrointestinal-tract
Bacteroides fragilis 2_1_16,gastrointestinal-tract
Bacteroides fragilis 2_1_56FAA,gastrointestinal-tract
Bacteroides fragilis 3_1_12,gastrointestinal-tract
Bacteroides fragilis CL03T00C08,not-specified
Bacteroides fragilis CL03T12C07,not-specified
Bacteroides fragilis CL05T00C42,not-specified
Bacteroides fragilis CL05T00C42,not-specified
Bacteroides fragilis CL05T12C13,not-specified
Bacteroides fragilis CL07T00C01,not-specified
Bacteroides fragilis CL07T12C05,not-specified
Bacteroides fragilis HMW 610,not-specified
Bacteroides fragilis HMW 615,not-specified
Bacteroides fragilis HMW 616,not-specified
Bacteroides fragilis KLE1758,"not-specified, gastrointestinal-tract"
Bacteroides fragilis S14,not-specified
Bacteroides intestinalis DSM 17393,gastrointestinal-tract
Bacteroides intestinalis DSM 17393,gastrointestinal-tract
Bacteroides intestinalis KLE1704,"not-specified, gastrointestinal-tract"
Bacteroides massiliensis DSM 17679,not-specified
Bacteroides nordii CL02T12C05,not-specified
Bacteroides oleiciplenus YIT 12058,gastrointestinal-tract
Bacteroides oleiciplenus YIT 12058,gastrointestinal-tract
Bacteroides ovatus 3_8_47FAA,gastrointestinal-tract
Bacteroides ovatus ATCC 8483,gastrointestinal-tract
Bacteroides ovatus CL02T12C04,not-specified
Bacteroides ovatus CL03T12C18,not-specified
Bacteroides ovatus KLE1656,"not-specified, gastrointestinal-tract"
Bacteroides plebeius DSM 17135,gastrointestinal-tract
Bacteroides pyogenes F0041,not-specified
Bacteroides salyersiae CL02T12C01,not-specified
Bacteroides salyersiae DSM 18765,not-specified
Bacteroides sp. 1_1_14,gastrointestinal-tract
Bacteroides sp. 1_1_30,gastrointestinal-tract
Bacteroides sp. 2_1_22,gastrointestinal-tract
Bacteroides sp. 2_1_33B,gastrointestinal-tract
Bacteroides sp. 2_2_4,gastrointestinal-tract
Bacteroides sp. 3_1_13,not-specified
Bacteroides sp. 3_1_19,gastrointestinal-tract
Bacteroides sp. 3_1_23,gastrointestinal-tract
Bacteroides sp. 3_1_33FAA,gastrointestinal-tract
Bacteroides sp. 3_1_40A,gastrointestinal-tract
Bacteroides sp. 3_2_5,gastrointestinal-tract
Bacteroides sp. 4_1_36,gastrointestinal-tract
Bacteroides sp. 4_3_47FAA,gastrointestinal-tract
Bacteroides sp. 9_1_42FAA,gastrointestinal-tract
Bacteroides sp. D1,gastrointestinal-tract
Bacteroides sp. D2,gastrointestinal-tract
Bacteroides sp. D20,gastrointestinal-tract
Bacteroides sp. D22,gastrointestinal-tract
Bacteroides sp. HMSC067B03,not-specified
Bacteroides sp. HMSC068A09,not-specified
Bacteroides sp. HMSC073E02,not-specified
Bacteroides sp. HPS0048,not-specified
Bacteroides stercoris ATCC 43183,gastrointestinal-tract
Bacteroides stercoris ATCC 43183,gastrointestinal-tract
Bacteroides stercoris CC31F,not-specified
Bacteroides thetaiotaomicron 1_1_6,gastrointestinal-tract
Bacteroides thetaiotaomicron KLE1254,"not-specified, gastrointestinal-tract"
Bacteroides uniformis ATCC 8492,gastrointestinal-tract
Bacteroides uniformis ATCC 8492,gastrointestinal-tract
Bacteroides uniformis CL03T00C23,not-specified
Bacteroides uniformis CL03T12C37,not-specified
Bacteroides uniformis KLE1607,"not-specified, gastrointestinal-tract"
Bacteroides vulgatus CL09T03C04,not-specified
Bacteroides xylanisolvens CL03T12C04,not-specified
Bacteroidetes bacterium oral taxon 272 F0290,not-specified
Bacteroidetes oral taxon 274 F0058,oral
Balneatrix alpica DSM 16621,central-nervous-system
Barnesiella intestinihominis YIT 11860,not-specified
Bartonella rochalimae ATCC BAA-1498,not-specified
Bergeyella zoohelcum ATCC 43767,bone
Bergeyella zoohelcum CCUG 30536,blood
Bifidobacterium adolescentis L2-32,gastrointestinal-tract
Bifidobacterium angulatum,not-specified
Bifidobacterium angulatum DSM 20098,gastrointestinal-tract
Bifidobacterium bifidum ATCC 29521,gastrointestinal-tract
Bifidobacterium bifidum BGN4,gastrointestinal-tract
Bifidobacterium bifidum MJR8628B,urogenital-tract
Bifidobacterium bifidum NCIMB 41171,gastrointestinal-tract
Bifidobacterium bifidum NCIMB 41171,gastrointestinal-tract
Bifidobacterium breve ACS-071-V-Sch8b,urogenital-tract
Bifidobacterium breve DSM 20213,gastrointestinal-tract
Bifidobacterium breve DSM 20213 = JCM 1192,gastrointestinal-tract
Bifidobacterium breve GED8481,urogenital-tract
Bifidobacterium breve HPH0326,not-specified
Bifidobacterium breve JCP7499,urogenital-tract
Bifidobacterium catenulatum DSM 16992,gastrointestinal-tract
Bifidobacterium dentium ATCC 27678,gastrointestinal-tract
Bifidobacterium dentium ATCC 27679,urogenital-tract
Bifidobacterium dentium JCVIHMP022,urogenital-tract
Bifidobacterium gallicum DSM 20093,gastrointestinal-tract
Bifidobacterium kashiwanohense PV20-2,not-specified
Bifidobacterium longum 12_1_47BFAA,gastrointestinal-tract
Bifidobacterium longum CMW7750,urogenital-tract
Bifidobacterium longum infantis CCUG 52486,gastrointestinal-tract
Bifidobacterium longum longum 1-6B,not-specified
Bifidobacterium longum longum 2-2B,gastrointestinal-tract
Bifidobacterium longum longum 35B,not-specified
Bifidobacterium longum longum 44B,gastrointestinal-tract
Bifidobacterium longum longum ATCC 55813,gastrointestinal-tract
Bifidobacterium pseudocatenulatum DSM 20438,gastrointestinal-tract
Bifidobacterium pseudocatenulatum DSM 20438 = JCM 1200 = LMG 10505,not-specified
Bifidobacterium scardovii,blood
Bifidobacterium sp. MSTE12,not-specified
Bifidobacterium thermophilum RBL67,not-specified
Bilophila sp. 4_1_30,gastrointestinal-tract
Bilophila wadsworthia 3_1_6,gastrointestinal-tract
Blautia hansenii DSM 20583,gastrointestinal-tract
Blautia hydrogenotrophica DSM 10507,gastrointestinal-tract
Blautia hydrogenotrophica DSM 10507,gastrointestinal-tract
Blautia obeum ATCC 29174,gastrointestinal-tract
Blautia producta ATCC 27340 = DSM 2950,gastrointestinal-tract
Blautia sp. KLE 1732 KLE 1732,gastrointestinal-tract
Blautia wexlerae DSM 19850,gastrointestinal-tract
Bordetella bronchialis AU17976,oral
Bordetella bronchialis AU3182,not-specified
Bordetella bronchiseptica I328,not-specified
Bordetella flabilis AU10664,oral
Bordetella holmesii H903,not-specified
Bordetella parapertussis H904,not-specified
Bordetella pertussis J445,not-specified
Bordetella pertussis J446,not-specified
Bordetella pertussis J447,not-specified
Bordetella pertussis J448,not-specified
Bordetella pertussis VA-15,not-specified
Bordetella pertussis VA-18,not-specified
Bordetella pertussis VA-194,not-specified
Bordetella pertussis VA-198,not-specified
Bordetella pertussis VA-52,not-specified
Bordetella pertussis VA-UT25Sm1,not-specified
Bordetella sp. H567,not-specified
Brachybacterium sp. HMSC06H03,urogenital-tract
Brachybacterium sp. HMSC06H03,urogenital-tract
Brevibacterium casei S18,not-specified
Brevibacterium mcbrellneri ATCC 49030,urogenital-tract
Brevibacterium sp. HMSC063G07,not-specified
Brevibacterium sp. HMSC07C04,urogenital-tract
Brevibacterium sp. HMSC08F02,urogenital-tract
Brevibacterium sp. HMSC22B09,urogenital-tract
Brevibacterium sp. HMSC24B04,skin
Brevundimonas diminuta 470-4,oral
Brucella canis 2009004498,not-specified
Brucella melitensis 2008724259,not-specified
Brucella suis 2004000577,not-specified
Bulleidia extructa W1219,oral
Burkholderia multivorans AU1185,not-specified
Burkholderia pseudomallei 1026b,not-specified
Burkholderia pseudomallei BPC006,not-specified
Burkholderia pseudomallei Burk178-Type1,oral
Burkholderia pseudomallei Burk178-Type2,oral
Burkholderia pseudomallei M1,not-specified
Burkholderia pseudomallei MS,not-specified
Burkholderia pseudomallei MSHR305,not-specified
Burkholderia sp. HMSC10F09,not-specified
Burkholderia stabilis ATCC BAA-67,not-specified
Burkholderia thailandensis 2003015869,not-specified
Burkholderia vietnamiensis AU1233,not-specified
Burkholderiales bacterium 1_1_47,gastrointestinal-tract
Burkholderiales bacterium 1_1_47,gastrointestinal-tract
Butyricicoccus pullicaecorum 1.2,not-specified
Butyrivibrio crossotus DSM 2876,gastrointestinal-tract
Campylobacter coli JV20,gastrointestinal-tract
Campylobacter gracilis RM3268,oral
Campylobacter jejuni jejuni 00-2425,not-specified
Campylobacter jejuni jejuni 00-2426,not-specified
Campylobacter jejuni jejuni 00-2538,not-specified
Campylobacter jejuni jejuni 00-2544,not-specified
Campylobacter jejuni jejuni RM3420,not-specified
Campylobacter rectus RM3267,oral
Campylobacter showae RM3277,oral
Campylobacter sp. 10_1_50,gastrointestinal-tract
Campylobacter sp. FOBRC14,oral
Campylobacter upsaliensis JV21,gastrointestinal-tract
Campylobacter ureolyticus ACS-301-V-Sch3b,not-specified
Candidatus Borrelia mayonii MN14-1539,blood
Candidatus Methanomassiliicoccus intestinalis Issoire-Mx1,not-specified
Candidatus Mycoplasma girerdii VCU_M1,not-specified
Candidatus Stoquefichus sp. KLE1796,"not-specified, gastrointestinal-tract"
Capnocytophaga canimorsus Cc5,not-specified
Capnocytophaga gingivalis ATCC 33624,oral
Capnocytophaga granulosa ATCC 51502,not-specified
Capnocytophaga haemolytica CCUG 32990,not-specified
Capnocytophaga ochracea F0287,oral
Capnocytophaga ochracea Holt 25,oral
Capnocytophaga sp. CM59,oral
Capnocytophaga sp. oral taxon 324 F0483,oral
Capnocytophaga sp. oral taxon 326 F0382,oral
Capnocytophaga sp. oral taxon 329 F0087,oral
Capnocytophaga sp. oral taxon 332 F0381,oral
Capnocytophaga sp. oral taxon 335 F0486,oral
Capnocytophaga sp. oral taxon 336 F0502,not-specified
Capnocytophaga sp. oral taxon 338 F0234,oral
Capnocytophaga sp. oral taxon 380 F0488,oral
Capnocytophaga sp. oral taxon 412 F0487,oral
Capnocytophaga sp. oral taxon 863 F0517,not-specified
Capnocytophaga sputigena Capno,oral
Cardiobacterium hominis ATCC 15826,blood
Cardiobacterium valvarum F0432,oral
Catenibacterium mitsuokai DSM 15897,gastrointestinal-tract
Catenibacterium mitsuokai DSM 15897,gastrointestinal-tract
Catonella morbi ATCC 51271,oral
Catonella morbi ATCC 51271,oral
Cedecea davisae DSM 4568,gastrointestinal-tract
Centipeda periodontii DSM 2778,oral
Cetobacterium somerae ATCC BAA-474,gastrointestinal-tract
Cetobacterium somerae ATCC BAA-474,gastrointestinal-tract
Chlamydia psittaci MN,not-specified
Chlamydia trachomatis E-103,not-specified
Chlamydia trachomatis E-160,not-specified
Chlamydia trachomatis E-32931,not-specified
Chlamydia trachomatis E-547,not-specified
Chlamydia trachomatis E-8873,not-specified
Chlamydia trachomatis E-DK-20,not-specified
Chlamydia trachomatis F-6068,not-specified
Chlamydia trachomatis L2/25667R,not-specified
Chlamydia trachomatis QH111L,not-specified
Christensenella minuta DSM 22607,gastrointestinal-tract
Chryseobacterium gleum ATCC 35910,urogenital-tract
Citrobacter freundii 4_7_47CFAA,gastrointestinal-tract
Citrobacter freundii B38,not-specified
Citrobacter freundii GED7749C,urogenital-tract
Citrobacter freundii SL151,not-specified
Citrobacter koseri DNF00568,urogenital-tract
Citrobacter koseri GED7778C,urogenital-tract
Citrobacter koseri PSS_7778B,urogenital-tract
Citrobacter portucalensis 30_2,gastrointestinal-tract
Citrobacter youngae ATCC 29220,gastrointestinal-tract
Clostridiales bacterium 1_7_47FAA,gastrointestinal-tract
Clostridiales bacterium 1_7_47FAA 1_7_47_FAA,gastrointestinal-tract
Clostridiales bacterium KA00134,urogenital-tract
Clostridiales bacterium KA00274,urogenital-tract
Clostridiales bacterium KLE1615,"not-specified, gastrointestinal-tract"
Clostridiales bacterium oral taxon 876 F0540,not-specified
Clostridiales bacterium S5-A14a,urogenital-tract
Clostridioides difficile 002-P50-2011,gastrointestinal-tract
Clostridioides difficile 050-P50-2011,gastrointestinal-tract
Clostridioides difficile 70-100-2010,gastrointestinal-tract
Clostridioides difficile HMSC19D05,gastrointestinal-tract
Clostridioides difficile NAP07,gastrointestinal-tract
Clostridioides difficile NAP08,gastrointestinal-tract
Clostridium botulinum CDC_69094,not-specified
Clostridium butyricum 60E.3,not-specified
Clostridium celatum DSM 1785,gastrointestinal-tract
Clostridium colicanis 209318,not-specified
Clostridium orbiscindens 1_3_50AFAA,not-specified
Clostridium perfringens FORC_025,not-specified
Clostridium perfringens MJR7757A,urogenital-tract
Clostridium perfringens WAL-14572,gastrointestinal-tract
Clostridium senegalense JC122,not-specified
Clostridium sp. 1_1_41A1FAA,not-specified
Clostridium sp. 7_2_43FAA,gastrointestinal-tract
Clostridium sp. 7_3_54FAA,gastrointestinal-tract
Clostridium sp. ATCC 29733 ATCC 29733,gastrointestinal-tract
Clostridium sp. ATCC BAA-442 ATCC BAA-442,gastrointestinal-tract
Clostridium sp. D5,gastrointestinal-tract
Clostridium sp. HGF2,gastrointestinal-tract
Clostridium sp. HMSC19A10,gastrointestinal-tract
Clostridium sp. HMSC19A11,gastrointestinal-tract
Clostridium sp. HMSC19B01,gastrointestinal-tract
Clostridium sp. HMSC19B04,gastrointestinal-tract
Clostridium sp. HMSC19B10,gastrointestinal-tract
Clostridium sp. HMSC19B11,gastrointestinal-tract
Clostridium sp. HMSC19B12,gastrointestinal-tract
Clostridium sp. HMSC19C05,gastrointestinal-tract
Clostridium sp. HMSC19C08,gastrointestinal-tract
Clostridium sp. HMSC19C09,gastrointestinal-tract
Clostridium sp. HMSC19C11,gastrointestinal-tract
Clostridium sp. HMSC19D02,gastrointestinal-tract
Clostridium sp. HMSC19D07,gastrointestinal-tract
Clostridium sp. HMSC19E03,gastrointestinal-tract
Clostridium sp. KLE 1755 KLE 1755,gastrointestinal-tract
Clostridium sp. L2-50,gastrointestinal-tract
Clostridium sp. M62/1,gastrointestinal-tract
Clostridium sp. MSTE9,oral
Clostridium sporogenes ATCC 15579,gastrointestinal-tract
Collinsella aerofaciens ATCC 25986,gastrointestinal-tract
Collinsella intestinalis DSM 13280,gastrointestinal-tract
Collinsella intestinalis DSM 13280,gastrointestinal-tract
Collinsella sp. 4_8_47FAA,not-specified
Collinsella stercoris DSM 13279,gastrointestinal-tract
Collinsella stercoris DSM 13279,gastrointestinal-tract
Collinsella tanakaei YIT 12063,gastrointestinal-tract
Coprobacillus cateniformis 29_1,gastrointestinal-tract
Coprobacillus sp. 3_3_56FAA,gastrointestinal-tract
Coprobacillus sp. 8_1_38FAA,not-specified
Coprobacillus sp. 8_2_54BFAA,gastrointestinal-tract
Coprobacillus sp. D6,gastrointestinal-tract
Coprobacillus sp. D7,not-specified
Coprobacter fastidiosus NSB1,not-specified
Coprococcus comes ATCC 27758,gastrointestinal-tract
Coprococcus comes ATCC 27758,gastrointestinal-tract
Coprococcus eutactus ATCC 27759,gastrointestinal-tract
Coprococcus eutactus ATCC 27759,gastrointestinal-tract
Coprococcus sp. HPP0048,not-specified
Coprococcus sp. HPP0074,not-specified
Coriobacteriaceae bacterium BV3Ac1,not-specified
Coriobacteriales bacterium DNF00809,urogenital-tract
Corynebacterium accolens ATCC 49725,airways
Corynebacterium accolens ATCC 49726,airways
Corynebacterium afermentans afermentans LCDC880199,not-specified
Corynebacterium ammoniagenes DSM 20306,gastrointestinal-tract
Corynebacterium ammoniagenes DSM 20306,not-specified
Corynebacterium amycolatum SK46,skin
Corynebacterium atypicum,not-specified
Corynebacterium aurimucosum ATCC 700975,urogenital-tract
Corynebacterium diphtheriae B-D-16-78,not-specified
Corynebacterium durum F0235,oral
Corynebacterium efficiens YS-314,skin
Corynebacterium freiburgense DSM 45254,not-specified
Corynebacterium freneyi DNF00450,urogenital-tract
Corynebacterium freneyi DNF00450,urogenital-tract
Corynebacterium genitalium ATCC 33030,urogenital-tract
Corynebacterium glucuronolyticum ATCC 51866,urogenital-tract
Corynebacterium glucuronolyticum ATCC 51867,urogenital-tract
Corynebacterium imitans,not-specified
Corynebacterium jeikeium ATCC 43734,urogenital-tract
Corynebacterium kroppenstedtii DNF00591,urogenital-tract
Corynebacterium lipophiloflavum DSM 44291,urogenital-tract
Corynebacterium massiliense DSM 45435,not-specified
Corynebacterium matruchotii ATCC 14266,oral
