Genus,Atacama.Desert...ID.10360,Hawaii.Volcanic.Soil...ID.1579,Panama.Soil...ID.1716,Canadian.MetaMicrobiome...ID.632,Serpentinite.Hosted.Microbiome...ID.713,Polluted.Polar.Coastal.Sediments...ID.1198,McMurdo.Lakes...ID.638,Great.Lake.Microbiome...ID.1041,Global.Coral.Microbiome.Project...ID.10895,Tara.Counts,Vulcano.Counts,Polar.Counts,Phyllo.Counts,Panama.Counts,Lakes.Counts,Hawaii.Counts,Costa.Counts,Air.Counts,Arabic.Counts,Thar.Counts,Antarctic.Counts
Asarum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
Aspergillus,0,0,0,2,11,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Asplenium,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aspromonas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,53,0,0
Asteroleplasma,0,0,0,0,0,0,0,0,0,8,0,0,0,14,0,0,2,0,0,7,0
Asticcacaulis,0,0,0,0,0,0,0,0,0,46,24,17,1,26,0,91,0,0,11,8,8
Atopobium,0,0,0,1,2,1,1,1,1,2,0,3,0,0,6,0,0,0,0,2,166
Atopococcus,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,1
Atopostipes,1,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
Aulacoseira,0,0,0,3,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Aurantimonas,0,0,0,0,1,0,0,0,0,604,0,0,0,1,4,0,0,0,0,0,3
Aureibacter,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Aureimonas,0,0,0,0,0,0,0,0,0,64,0,1,0,0,0,0,0,0,0,0,15
Aureispira,0,0,0,0,0,0,0,0,0,595,0,0,0,0,0,0,0,0,0,0,0
Aureitalea,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,75
Auritibacter,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Austwickia,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Auxenochlorella,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Avibacterium,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Azoarcus,0,1,0,0,4,0,0,0,0,95,0,32,0,10,0,883,0,0,0,0,19
Azohydromonas,2,0,0,0,11,0,1,0,0,0,4,0,2,520,0,0,1,5,0,0,0
Azolla,0,3,0,0,17,1,0,0,0,0,0,8,0,1,0,2,0,0,0,0,0
Azomonas,0,0,0,0,5,0,0,0,0,31,0,131,0,0,0,29,1,0,0,0,388
Azonexus,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Azorhizobium,0,0,0,0,540,0,2,0,0,13,0,0,0,4,0,84,1,0,0,0,3
Azorhizophilus,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4
Azospira,0,0,0,0,2,0,0,0,0,252,0,50,26,2,0,32,1,0,0,0,505
Azospirillum,3,19,9,0,1169,2,1,0,3,129,5,0,1,3,0,37,11,0,2,28,164
Azotobacter,0,0,0,0,33,1,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0
Azovibrio,0,0,0,0,0,0,0,0,0,8,2,8,4,2,0,0,0,0,1,0,45
B-42,0,0,0,0,0,0,0,0,0,0,0,43,197,1,0,4990,0,0,0,6,2
B46,0,0,0,0,0,0,0,0,0,0,13,140,0,0,0,0,0,0,0,0,0
Bacillus,60,69,28,23,12331,21,26,23,12,584,31,719,524,8459,297,37470,7,0,40,1210,3296
Bacteriovorax,0,1,0,1,117,16,0,1,3,359,26,1985,1,0,0,9,0,0,0,0,44
Bacteroides,3,31,3,2,324,13,10,2,4,17,6,93,1,3,18,2,0,1,0,0,3
BAL58 marine group,0,0,0,0,0,0,0,0,0,6298,0,0,0,0,0,0,0,0,0,0,0
Balneatrix,0,0,0,0,0,0,0,0,0,31234,0,133,0,0,0,0,0,0,0,0,3
Balneimonas,0,0,0,0,0,0,0,0,0,0,18,10,26,46,5,5,48,17,9,6288,5139
Balneola,0,0,0,0,0,0,0,0,0,5955,368,4,0,0,0,0,0,0,0,0,1274
Barnesiella,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Bartonella,0,4,0,0,24,1,0,0,0,140,0,0,0,0,0,0,1,0,2,0,17
Bauldia,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0
Baumannia,0,0,0,0,0,0,0,0,0,0,0,445,1,0,0,0,0,0,0,0,0
BD1-7 clade,0,0,0,0,0,0,0,0,0,5221,0,0,0,0,0,0,0,0,0,0,0
BD2-13,0,0,0,0,0,0,0,0,0,0,18,1050,0,0,0,1,0,0,2,0,417
BD2-6,0,0,0,0,0,0,0,0,0,0,2,2234,0,0,0,0,0,0,0,0,0
BD2-7,0,0,0,0,0,0,0,0,0,430,0,0,0,0,0,0,0,0,0,0,0
Bdellovibrio,5,14,5,0,319,0,0,0,1,1277,77,1103,18,567,35,24072,40,0,12,77,1810
Beggiatoa,1,2,2,0,102,2,1,0,2,3,0,17,0,0,0,0,0,0,0,0,0
Beijerinckia,0,0,0,0,8,0,0,0,0,0,3,3,331,3,0,5,7,0,6,2,122
Belliella,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,183
Bellilinea,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
Belnapia,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,764,0,0,0,11,11
Bergeriella,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
Bergeyella,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0
Bermanella,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0
Beta,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Beutenbergia,0,0,0,0,13,0,0,0,0,1,0,13,0,0,0,2,0,0,0,0,12
Bhargavaea,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Bibersteinia,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
Bifidobacterium,3,1,0,5,34,1,3,5,0,5,0,227,87,0,60,30,0,0,0,0,13
Bilophila,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,12,0,0,0,0,0
Bizionia,0,0,0,0,0,0,0,0,0,700,0,1,0,0,0,0,0,0,0,0,1
