ID,Species,Order,Class,Phylum,Domain,Genome availability,Salinity concentration/range(w/v),Halotolerance classification
20,Haloarcula amylolytica,Halobacteriales,Halobacteria,Euryarchaeota,Archaea,shotgun,">12%, optimum 17% - 19%",Moderate 
21,Halobacterium cutirubrum,Halobacteriales,Halobacteria,Euryarchaeota,Archaea,no,>12%,Moderate 
22,Haloquadratum walsbyi,Haloferacales,Halobacteria,Euryarchaeota,Archaea,complete genome,0.19,Moderate 
23,Haloferax gibbonsii,Haloferacales,Halobacteria,Euryarchaeota,Archaea,complete genome,>12%,Moderate 
24,Haloferax mediterranei,Haloferacales,Halobacteria,Euryarchaeota,Archaea,complete genome,>12%,Moderate 
25,Haloferax volcanii,Haloferacales,Halobacteria,Euryarchaeota,Archaea,complete genome,"6% - 29%, optimum 10% - 15%",Moderate 
26,Halorubrum lacusprofundi,Haloferacales,Halobacteria,Euryarchaeota,Archaea,complete genome,>12%,Moderate 
27,Halogeometricum borinquense,Haloferacales,Halobacteria,Euryarchaeota,Archaea,complete genome,"min 8%, optimum 20% - 25%",Extreme
28,Halobaculum gomorrense,Haloferacales,Halobacteria,Euryarchaeota,Archaea,shotgun,"min 5.8%, optimum 9% - 15%",Moderate 
29,Halorubrum sodomense,Haloferacales,Halobacteria,Euryarchaeota,Archaea,shotgun,>12%,Moderate 
30,Halorubrum trapanicum,Haloferacales,Halobacteria,Euryarchaeota,Archaea,no,>12%,Moderate 
31,Halorubrum vacuolatum,Haloferacales,Halobacteria,Euryarchaeota,Archaea,no,>12%,Moderate 
32,Haloferax sulfurifontis,Haloferacales,Halobacteria,Euryarchaeota,Archaea,shotgun,"6% - saturation, optimum 12.5% - 15%",Extreme
33,Haloferax elongans,Haloferacales,Halobacteria,Euryarchaeota,Archaea,shotgun,9.9% - 29.8%,Extreme
34,Haloferax mucosum,Haloferacales,Halobacteria,Euryarchaeota,Archaea,shotgun,9.9% - 29.8%,Extreme
35,Halorubrum saccharovorum,Haloferacales,Halobacteria,Euryarchaeota,Archaea,shotgun,>12%,Moderate 
36,Haloferax denitrificans,Haloferacales,Halobacteria,Euryarchaeota,Archaea,shotgun,"9% - 26%, optimum 12% - 17.5%",Moderate 
37,Halorubrum distributum,Haloferacales,Halobacteria,Euryarchaeota,Archaea,shotgun,>12%,Moderate 
38,Halorubrum coriense,Haloferacales,Halobacteria,Euryarchaeota,Archaea,shotgun,>12%,Moderate 
39,Methanocalculus halotolerans,Methanomicrobiales,Methanomicrobia,Euryarchaeota,Archaea,no,0.12,Moderate 
40,Methanohalophilus halophilus,Methanosarcinales,Methanomicrobia,Euryarchaeota,Archaea,complete genome,optimum 4% - 12%,Moderate 
41,Methanohalophilus portucalensis,Methanosarcinales,Methanomicrobia,Euryarchaeota,Archaea,shotgun,up to 25% - 26%,Extreme
42,Methanosarcina acetivorans,Methanosarcinales,Methanomicrobia,Euryarchaeota,Archaea,complete genome,0.06,Moderate 
44,Methanosalsum zhilinae (Methanohalophilus zhilinae),Methanosarcinales,Methanomicrobia,Euryarchaeota,Archaea,complete genome,"1% - 12%, optimum 4%",Slight
45,Methanohalophilus mahii,Methanosarcinales,Methanomicrobia,Euryarchaeota,Archaea,complete genome,"6% - 15%, optimum 12%",Moderate 
46,Methanohalobium evestigatum,Methanosarcinales,Methanomicrobia,Euryarchaeota,Archaea,complete genome,"25%, up to 25% - 26%",Extreme
47,Natronococcus amylolyticus,Natrialbales,Halobacteria,Euryarchaeota,Archaea,shotgun,>12%,Moderate 
49,Haloterrigena turkmenica,Natrialbales,Halobacteria,Euryarchaeota,Archaea,complete genome,>12%,Moderate 
50,Natrialba magadii,Natrialbales,Halobacteria,Euryarchaeota,Archaea,complete genome,">12%, optimum 20%",Moderate 
51,Natronobacterium gregoryi,Natrialbales,Halobacteria,Euryarchaeota,Archaea,complete genome,>12%,Moderate 
52,Natronococcus occultus,Natrialbales,Halobacteria,Euryarchaeota,Archaea,complete genome,>12%,Moderate 
53,Halovivax ruber,Natrialbales,Halobacteria,Euryarchaeota,Archaea,complete genome,min 14.6% (optimum 19.8%),Moderate 
54,Halopiger xanaduensis,Natrialbales,Halobacteria,Euryarchaeota,Archaea,complete genome,"15% - 30%, optimum 25%",Extreme
55,Nodularia Spumigena,Nostocales,Cyanophyceae,Cyanobacteria,Bacteria,complete genome,"6% - 10%, <=7%",Moderate 
56,Nesterenkonia sp HQ704868,Micrococcales,Actinobacteria,Actinobacteria,Bacteria,no,5% - 25%,Extreme
57,Marinobacter hydrocarbonoclasticus (Marinobacter aquaeolei),Alteromonadales,Gammaproteobacteria,Proteobacteria,Bacteria,complete genome,0% - 20% (optimum 5%),Moderate
58,Aphanothece halophytica (coccochloris elabens),Chroococcales,Cyanophyceae,Cyanobacteria,Bacteria,complete genome,"3% - 21%, 27%",Extreme
59,Halobacillus halophilus,Bacillales,Bacilli,Firmicutes,Bacteria,complete genome,"11.6% - 17.5%, optimum 3% - 5%",Moderate 
60,Halobacillus locisalis,Bacillales,Bacilli,Firmicutes,Bacteria,no,<=24% (optimum 10%),Moderate 
61,Halobacillus salinus,Bacillales,Bacilli,Firmicutes,Bacteria,no,<23% (optimum 2% - 10%),Moderate 
62,Halobacillus campisalis,Bacillales,Bacilli,Firmicutes,Bacteria,no,0% - 22% (optimum 8%),Moderate 
63,Alteribacillus bidgolensis,Bacillales,Bacilli,Firmicutes,Bacteria,shotgun,0.5% - 12.5% (optimum 5% - 7.5%),Moderate 
64,Halobacillus aidingensis,Bacillales,Bacilli,Firmicutes,Bacteria,shotgun,0.5% - 20%,Moderate 
66,Halobacillus yeomjeoni,Bacillales,Bacilli,Firmicutes,Bacteria,no,0.5% - 22% (optimum 3% - 5%),Moderate 
67,Thalassobacillus cyri,Bacillales,Bacilli,Firmicutes,Bacteria,shotgun,1% - 15% (optimum 8%),Moderate 
68,Halobacillus naozhouensis,Bacillales,Bacilli,Firmicutes,Bacteria,no,1% - 20% (optimum 6% - 9%),Moderate 
69,Halobacillus seohaensis,Bacillales,Bacilli,Firmicutes,Bacteria,no,1% - 21% (optimum 8%),Moderate 
70,Halobacillus salsuginis,Bacillales,Bacilli,Firmicutes,Bacteria,no,1% - 23% (optimum 5% - 10%),Moderate 
71,Halobacillus sp HQ704870,Bacillales,Bacilli,Firmicutes,Bacteria,no,5% - 20%,Moderate 
72,Halobacillus sp HQ834853,Bacillales,Bacilli,Firmicutes,Bacteria,no,5% - 20%,Moderate 
73,Alteribacillus persepolensis,Bacillales,Bacilli,Firmicutes,Bacteria,shotgun,5% - 20% (optimum 10%),Moderate 
74,Halobacillus sp HQ426913,Bacillales,Bacilli,Firmicutes,Bacteria,no,5% - 25%,Extreme
75,Halobacillus sp HQ834847,Bacillales,Bacilli,Firmicutes,Bacteria,no,5% - 25%,Extreme
76,Pontibacillus halophilus,Bacillales,Bacilli,Firmicutes,Bacteria,shotgun,"2% - 25%, optimum 5% - 10%",Moderate
77,Virgibacillus sp HQ426915,Bacillales,Bacilli,Firmicutes,Bacteria,no,5% - 25%,Extreme
78,Virgibacillus sp HQ834848,Bacillales,Bacilli,Firmicutes,Bacteria,no,5% - 25%,Extreme
79,Halobacillus alkaliphilus,Bacillales,Bacilli,Firmicutes,Bacteria,shotgun,"0.5% - 20%, optimum 10%",Moderate 
80,Sediminibacillus halophilus,Bacillales,Bacilli,Firmicutes,Bacteria,shotgun,0% - 20% (optimum 5% - 7.5%),Moderate 
81,Halobacillus dabanensis,Bacillales,Bacilli,Firmicutes,Bacteria,shotgun,0.5% - 25%,Extreme
82,Halobacillus trueperi,Bacillales,Bacilli,Firmicutes,Bacteria,shotgun,0.5% - 30% (optimum 10%),Extreme
83,Oceanobacillus iheyensis,Bacillales,Bacilli,Firmicutes,Bacteria,complete genome,0% - 21% (optimum 3%),Moderate 
84,Nitrosococcus halophilus,Chromatiales,Gammaproteobacteria,Proteobacteria,Bacteria,complete genome,9.40E-02,Moderate 
85,Lamprobacter modestohalophilus,Chromatiales,Gammaproteobacteria,Proteobacteria,Bacteria,no,0.09,Moderate 
86,Desulfobacter halotolerans,Desulfobacterales,Deltaproteobacteria,Proteobacteria,Bacteria,no,0.13,Moderate 
87,Desulfohalobium retbaense,Desulfovibrionales,Deltaproteobacteria,Proteobacteria,Bacteria,complete genome,"24%, up to 24% (optimum 10%)",Extreme
88,Desulfovibrio halophilus,Desulfovibrionales,Deltaproteobacteria,Proteobacteria,Bacteria,no,optimum 6% - 7% (max 18%),Moderate 
89,Desulfovibrio gabonensis,Desulfovibrionales,Deltaproteobacteria,Proteobacteria,Bacteria,no,"1% - 17%, optimum 5% - 6%",Moderate 
90,Desulfovibrio oxyclinae,Desulfovibrionales,Deltaproteobacteria,Proteobacteria,Bacteria,shotgun,"optimum 5% - 10% (max 22.5%), up to 18% - 22.5%",Moderate 
91,Spiribacter salinus,Chromatiales,Gammaproteobacteria,Proteobacteria,Bacteria,complete genome,"10% - 25%, optimum 15%",Extreme
92,Ectothiorhodospira abdelmalekii,Chromatiales,Gammaproteobacteria,Proteobacteria,Bacteria,no,"5% - 25%, optimum 14% - 16%",Moderate 
93,Ectothiorhodospira haloalkaliphila,Chromatiales,Gammaproteobacteria,Proteobacteria,Bacteria,shotgun,>12%,Moderate 
94,Ectothiorhodospira halochloris,Chromatiales,Gammaproteobacteria,Proteobacteria,Bacteria,complete genome,">10%, optimum 14% - 27%",Extreme
95,Halorhodospira halophila (Ectothiorhodospira halophila),Chromatiales,Gammaproteobacteria,Proteobacteria,Bacteria,complete genome,NaCl saturation,Extreme
96,Ectothiorhodospira mobilis,Chromatiales,Gammaproteobacteria,Proteobacteria,Bacteria,shotgun,"1% - 20%, optimum 3% - 8%",Moderate 
98,Chlorogloea fritschii,Chroococcales,Cyanophyceae,Cyanobacteria,Bacteria,shotgun,3% - 18%,Moderate 
99,Halothermothrix orenii,Halanaerobiales,Clostridia,Firmicutes,Bacteria,complete genome,4% - 20% (optimum 5% - 10%),Moderate 
100,Halanaerobium praevalens,Halanaerobiales,Clostridia,Firmicutes,Bacteria,complete genome,"5% - 25%, optimum 13%",Moderate
101,Halanaerobium hydrogeniformans,Halanaerobiales,Clostridia,Firmicutes,Bacteria,complete genome,optimum 7%,Moderate 
102,Halanaerobium sehlinense,Halanaerobiales,Clostridia,Firmicutes,Bacteria,no,5% - 30% (optimum 20%),Extreme
103,Halarsenatibacter silvermanii,Halanaerobiales,Clostridia,Firmicutes,Bacteria,shotgun,min 20%,Moderate 
104,Haloanaerobium alcaliphilum,Halanaerobiales,Clostridia,Firmicutes,Bacteria,no,"2.5% - 25%, optimum 10%",Moderate 
105,Acetohalobium arabaticum,Halanaerobiales,Clostridia,Firmicutes,Bacteria,complete genome,"25%, 10% - 25% (optimum 20% - 25%)",Extreme
106,Halonatronum saccharophilum,Halanaerobiales,Clostridia,Firmicutes,Bacteria,shotgun,3% - 17% (optimum 7% - 12%),Moderate 
107,Halobacteroides halobius,Halanaerobiales,Clostridia,Firmicutes,Bacteria,complete genome,8.1% - 16.3% (optimum 8.7% - 14.6%),Moderate 
108,Selenihalanaerobacter shriftii,Halanaerobiales,Clostridia,Firmicutes,Bacteria,shotgun,10% - 24% (optimum 21%),Extreme
109,Natroniella acetigena,Halanaerobiales,Clostridia,Firmicutes,Bacteria,no,10% - 26% (optimum 12% - 15%),Extreme
110,Halanaerobaculum tunisiense,Halanaerobiales,Clostridia,Firmicutes,Bacteria,no,14% - 30% (optimum 20% - 22%),Extreme
111,Orenia salinaria,Halanaerobiales,Clostridia,Firmicutes,Bacteria,no,2% - 30% (optimum 5% - 10%),Extreme
112,Orenia sivashensis,Halanaerobiales,Clostridia,Firmicutes,Bacteria,no,5% - 25% (optimum 7% - 10%),Extreme
113,Sporohalobacter (Clostridium) lortetii,Halanaerobiales,Clostridia,Firmicutes,Bacteria,no,5.8% - 11.6%,Moderate 
114,Halanaerocella petrolearia,Halanaerobiales,Clostridia,Firmicutes,Bacteria,no,6% - 26% (optimum 15%),Extreme
115,Halanaerobacter jeridensis,Halanaerobiales,Clostridia,Firmicutes,Bacteria,no,6% - 30% (optimum 15%),Extreme
116,Chromohalobacter beijerinckii,Oceanospirillales,Gammaproteobacteria,Proteobacteria,Bacteria,no,0.35% - 25% (optimum 8% - 10%),Extreme
117,Halomonas halodenitrificans,Oceanospirillales,Gammaproteobacteria,Proteobacteria,Bacteria,shotgun,5.80E-02,Moderate 
118,Halomonas elongata,Oceanospirillales,Gammaproteobacteria,Proteobacteria,Bacteria,complete genome,0.32,Extreme
119,Halomonas subterranea,Oceanospirillales,Gammaproteobacteria,Proteobacteria,Bacteria,shotgun,0% - 15% (optimum 1% - 5%),Moderate 
120,Halomonas arcis,Oceanospirillales,Gammaproteobacteria,Proteobacteria,Bacteria,shotgun,0% - 20% (optimum 1% - 5%),Moderate 
121,Halomonas saccharevitans,Oceanospirillales,Gammaproteobacteria,Proteobacteria,Bacteria,shotgun,0.5% - 15% (optimum 3% - 7.5%),Moderate 
122,Halomonas ventosae,Oceanospirillales,Gammaproteobacteria,Proteobacteria,Bacteria,no,1% - 15% (optimum 8%),Moderate 
123,Halomonas halophila (Deleya halophila),Oceanospirillales,Gammaproteobacteria,Proteobacteria,Bacteria,no,2% - 30% (optimum 7.5%),Extreme
124,Halomonas meridiana,Oceanospirillales,Gammaproteobacteria,Proteobacteria,Bacteria,shotgun,optimum 3% - 10%,Moderate 
125,Chromohalobacter salexigens,Oceanospirillales,Gammaproteobacteria,Proteobacteria,Bacteria,complete genome,"0.9% - 25%, optimum 7.5% - 10%",Moderate 
126,Halomonas titanicae,Oceanospirillales,Gammaproteobacteria,Proteobacteria,Bacteria,shotgun,2% - 8%,Moderate 
127,Chromohalobacter japonicus,Oceanospirillales,Gammaproteobacteria,Proteobacteria,Bacteria,shotgun,"5% - 25%, optimum 7.5% - 12.5%",Moderate
129,Halothiobacillus halophilus,Chromatiales,Gammaproteobacteria,Proteobacteria,Bacteria,no,optimum (4.6% - 5.8%) max 23.3%,Moderate 
130,Halomicronema excentricum,Synechococcales,Cyanophyceae,Cyanobacteria,Bacteria,no,"3.2% - 12%, up to 15% tolerance",Moderate 
131,Leibleinia epiphytica,Synechococcales,Cyanophyceae,Cyanobacteria,Bacteria,no,polyhalobes (ph),Extreme
132,Aphanocapsa salina,Synechococcales,Cyanophyceae,Cyanobacteria,Bacteria,no,7.1% - 18%,Moderate 
133,Microcoleus chthonoplastes,Oscillatoriales,Cyanophyceae,Cyanobacteria,Bacteria,shotgun,"<=11.7%, 6% - 12.5%",Moderate 
134,Natranaerobius thermophilus,Natranaerobiales,Clostridia,Firmicutes,Bacteria,complete genome,"18% - 30%, optimum 19% - 23%",Extreme
135,Nocardiopsis halotolerans,Streptosporangiales,Actinobacteria,Actinobacteria,Bacteria,shotgun,0.1,Moderate 
136,Lyngbya martensiana,Oscillatoriales,Cyanophyceae,Cyanobacteria,Bacteria,no,0.1,Moderate 
137,Phormidium frigidum,Oscillatoriales,Cyanophyceae,Cyanobacteria,Bacteria,no,0.1,Moderate 
138,Phormidium hypersalinum,Oscillatoriales,Cyanophyceae,Cyanobacteria,Bacteria,no,3% - 19.2%,Moderate 
139,Phormidium hypolimneticum,Oscillatoriales,Cyanophyceae,Cyanobacteria,Bacteria,no,4.9% - 21%,Moderate 
140,Cellulosimicrobium cellulans,Micrococcales,Actinobacteria,Actinobacteria,Bacteria,shotgun,7.90E-02,Moderate 
141,Saccharomonospora halophila,Pseudonocardiales,Actinobacteria,Actinobacteria,Bacteria,shotgun,"10% - 30%, optimum 10%",Moderate
142,Salinibacter ruber,Bacteroidetes Order II. Incertae sedis,not assigned,Bacteroidetes,Bacteria,complete genome,"min 15% - 37%, optimum 15% - 30%",Extreme
143,Salisaeta longa,Bacteroidetes Order II. Incertae sedis,not assigned,Bacteroidetes,Bacteria,shotgun,"5% - 20%, optimum 10%",Moderate 
144,Schizothrix arenaria,Pseudanabaenales,Cyanophyceae,Cyanobacteria,Bacteria,no,25% - 33%,Extreme
145,Halospirulina tapeticola,Spirulinales,Cyanophyceae,Cyanobacteria,Bacteria,no,3% - 20%,Moderate 
146,Spirulina subsalsa,Spirulinales,Cyanophyceae,Cyanobacteria,Bacteria,shotgun,"3% - 15.1%, 17.5%, 20.5%",Moderate 
147,Salinicoccus sp HQ704873,Bacillales,Bacilli,Firmicutes,Bacteria,no,5% - 20%,Moderate 
148,Salinicoccus sp HQ704871,Bacillales,Bacilli,Firmicutes,Bacteria,no,5% - 25%,Extreme
149,Staphylococcus sp HQ426917,Bacillales,Bacilli,Firmicutes,Bacteria,no,5% - 25%,Extreme
150,Streptomyces radiopugnans,Streptomycetales,Actinobacteria,Actinobacteria,Bacteria,shotgun,0.05,Moderate 
151,Salinivibrio costicola (Vibrio costicola),Vibrionales,Gammaproteobacteria,Proteobacteria,Bacteria,shotgun,5.80E-02,Moderate 
152,Aspergillus sp,Eurotiales,Eurotiomycetes,Ascomycota,Eukarya,no,>=15% (desert oil) 20%-25% (marine),Extreme
153,Acanthoecopsis unguiculata,Acanthoecida,Choanoflagellatea,Choanozoa,Eukarya,no,16.5% - 22.8%,Moderate 
154,Achnanthes brevipes,Mastogloiales,Bacillariophyceae,Bacillariophyta,Eukarya,no,up to 6.4%,Moderate 
155,Trematosoma bocqueti,Endogenida,Phyllopharyngea,Ciliophora,Eukarya,no,0.192,Moderate 
156,Acineta foetida,Endogenida,Phyllopharyngea ,Ciliophora,Eukarya,no,2.5% -8%,Moderate 
157,Acineta linguifera,Endogenida,Phyllopharyngea,Ciliophora,Eukarya,no,6% - 9%,Moderate 
158,Aeschnidae anax,Odonata,Insecta,Arthropoda,Eukarya,no,3.50E-02,Slight
159,Halocnemum strobilaceum,Caryophyllales,not assigned,Streptophyta,Eukarya,no,0.06,Moderate 
160,Salicornia bigelovii,Caryophyllales,not assigned,Streptophyta,Eukarya,chloroplast genome,0% - 8%,Moderate 
161,Artemia urmiana,Anostraca,Branchiopoda,Arthropoda,Eukarya,mitochondrial genome,10% - 18%,Moderate 
162,Artemia tibetiana,Anostraca,Branchiopoda,Arthropoda,Eukarya,mitochondrial genome,5.5% - 6%,Moderate 
163,Artemia franciscana,Anostraca,Branchiopoda,Arthropoda,Eukarya,mitochondrial genome,up to 34%,Extreme
164,Artemia persimilis,Anostraca,Branchiopoda,Arthropoda,Eukarya,no,0.09,Moderate 
165,Artemia parthenogenetica,Anostraca,Branchiopoda,Arthropoda,Eukarya,no,10.5% - 22%,Extreme
166,Artemia monica,Anostraca,Branchiopoda,Arthropoda,Eukarya,no,7.6% - 16.8%,Moderate 
167,Artemia salina,Anostraca,Branchiopoda,Arthropoda,Eukarya,no,9% - 34%,Extreme
168,Artemia sinica,Anostraca,Branchiopoda,Arthropoda,Eukarya,no,9% - 34%,Extreme
169,Penicillium chrysogenum (penicillium notatum),Eurotiales,Eurotiomycetes,Ascomycota,Eukarya,complete genome,25% - 30%,Extreme
170,Aspergillus pseudoglaucus (eurotium repens),Eurotiales,Eurotiomycetes,Ascomycota,Eukarya,no,0.25,Extreme
171,Aspergillus repens,Eurotiales,Eurotiomycetes,Ascomycota,Eukarya,no,>=25%,Extreme
172,Penicillium sp,Eurotiales,Eurotiomycetes,Ascomycota,Eukarya,no,20% - 25%,Extreme
173,Aspergillus ochraceus,Eurotiales,Eurotiomycetes,Ascomycota,Eukarya,no,satd,Extreme
174,Aspergillus penicilloides,Eurotiales,Eurotiomycetes,Ascomycota,Eukarya,no,satd,Extreme
175,Aspergillus wentii,Eurotiales,Eurotiomycetes,Ascomycota,Eukarya,no,satd,Extreme
176,Polypaecilum pisci (polypaecilium pisce),Eurotiales,Eurotiomycetes,Ascomycota,Eukarya,no,0.25,Extreme
177,Basipetospora halophila,Eurotiales,Eurotiomycetes,Ascomycota,Eukarya,no,satd,Extreme
178,Aspidisca cicada (Aspidisca costata),Euplotida,Spirotrichea,Ciliophora,Eukarya,no,12% - saturation,Extreme
179,Asplanchna girodi,Ploima,Monogononta,Rotifera,Eukarya,no,0.5% - 11.2%,Moderate 
180,Atherina boyeri,Atheriniformes,Actinopteri,Chordata,Eukarya,no,1.1% - 8%,Moderate 
181,Craterocephalus fluviatilis,Atheriniformes,Actinopteri,Chordata,Eukarya,no,6.20E-02,Moderate 
182,Aureobasidium pullulans,Dothideales,Dothideomycetes,Ascomycota,Eukarya,shotgun,<=17%,Moderate 
183,Nitzschia epithemioides,Bacillariales,Bacillariophyceae,Bacillariophyta,Eukarya,no,0.09,Moderate 
184,Nitzschia hummii,Bacillariales,Bacillariophyceae,Bacillariophyta,Eukarya,no,0.15,Moderate 
185,Nitzschia rostellata,Bacillariales,Bacillariophyceae,Bacillariophyta,Eukarya,no,3% - 18%,Moderate 
186,Nitzschia palea,Bacillariales,Bacillariophyceae,Bacillariophyta,Eukarya,no,7.5% - 12.5%,Moderate 
187,Nitzschia communis,Bacillariales,Bacillariophyceae,Bacillariophyta,Eukarya,no,7.5% - 15%,Moderate 
188,Nitzschia denticula,Bacillariales,Bacillariophyceae,Bacillariophyta,Eukarya,no,8.20E-02,Moderate 
189,Nitzschia frustulum,Bacillariales,Bacillariophyceae,Bacillariophyta,Eukarya,no,"9%, 7.5% - 12.5%",Moderate 
190,Nitzschia rostellata,Bacillariales,Bacillariophyceae,Bacillariophyta,Eukarya,no,9.26E-02,Moderate 
191,Nitzschia longissima var. reversa,Bacillariales,Bacillariophyceae,Bacillariophyta,Eukarya,no,up to 6.4%,Moderate 
192,Nitzschia sigma,Bacillariales,Bacillariophyceae,Bacillariophyta,Eukarya,no,up to 6.4%,Moderate 
193,Blepharisma halophila,Heterotrichida,Spirotrichea,Ciliophora,Eukarya,no,16.5% - 31%,Extreme
194,Rhynchomonas nasuta,Bodonida,Kinetoplastea,Euglenophyta,Eukarya,no,15% - 20%,Moderate 
195,Bodo caudatus,Bodonida,Kinetoplastea,Euglenophyta,Eukarya,no,0.202,Moderate 
196,Bodo saltans,Bodonida,Kinetoplastea,Euglenophyta,Eukarya,no,6% - saturation,Extreme
197,Keratella quadrata,Ploima,Monogononta,Rotifera,Eukarya,no,0.5% - 10.5%,Moderate 
198,Brachionus plicatilis,Ploima,Monogononta,Rotifera,Eukarya,mitochondrial genome,"8% - 9%, 5% - 14.6%",Moderate 
199,Brachysira aponina,Naviculales,Bacillariophyceae,Bacillariophyta,Eukarya,no,3% - 10%,Moderate 
200,Branchinecta orientalis,Anostraca,Branchiopoda,Arthropoda,Eukarya,no,0.48% - 1.27%,Slight
201,Parartemia longicaudata,Anostraca,Branchiopoda,Arthropoda,Eukarya,no,4% - 23%,Moderate 
202,Parartemia zietziana,Anostraca,Branchiopoda,Arthropoda,Eukarya,no,4.1% - 29.8%,Extreme
203,Parartemia boomeranga,Anostraca,Branchiopoda,Arthropoda,Eukarya,no,5% - 12%,Moderate 
204,Parartemia informis,Anostraca,Branchiopoda,Arthropoda,Eukarya,no,5% - 8.8%,Moderate 
205,Parartemia serventyi,Anostraca,Branchiopoda,Arthropoda,Eukarya,no,6% - 13%,Moderate 
206,Parartemia veronicae,Anostraca,Branchiopoda,Arthropoda,Eukarya,no,7.4% - 22.5%,Extreme
207,Parartemia contracta,Anostraca,Branchiopoda,Arthropoda,Eukarya,no,7.5% - 24%,Extreme
208,Branchipodopsis affinis,Anostraca,Branchiopoda,Arthropoda,Eukarya,no,0.64% - 0.67%,Slight
209,Amphora coffeiformis,Thalassiophysales,Bacillariophyceae,Bacillariophyta,Eukarya,no,3% - 18%,Moderate 
210,Amphora holsatica,Thalassiophysales,Bacillariophyceae,Bacillariophyta,Eukarya,no,"9.26%, 3.8% - 14.9%",Moderate 
211,Amphora ventricosa,Thalassiophysales,Bacillariophyceae,Bacillariophyta,Eukarya,no,up to 15%,Moderate 
212,Boeckella poopoensis,Calanoida,Maxillopoda,Arthropoda,Eukarya,no,0.1% - 9%,Moderate 
213,Calamoecia clitellata,Calanoida,Maxillopoda,Arthropoda,Eukarya,no,3% - 12.7%,Moderate 
214,Calamoecia trilobata,Calanoida,Maxillopoda,Arthropoda,Eukarya,no,"3.5% - 24%, 24%",Extreme
215,Calamoecia salina,Calanoida,Maxillopoda,Arthropoda,Eukarya,no,3.7% - 11%,Moderate 
216,Branchinectella media,Anostraca,Branchiopoda,Arthropoda,Eukarya,no,0.47% - 2.1%,Slight
217,Chironomus salinarius,Diptera,Insecta,Arthropoda,Eukarya,no,1.3% - 3.2%,Slight
218,Chironomus Aprilinus,Diptera,Insecta,Arthropoda,Eukarya,no,1.40E-02,Slight
219,Clunio marinus,Diptera,Insecta,Arthropoda,Eukarya,no,1.5% - 3.5%,Slight
220,Thalassomya frauenfeldi,Diptera,Insecta,Arthropoda,Eukarya,no,halophilic species,Moderate 
221,Halocladius millenarius,Diptera,Insecta,Arthropoda,Eukarya,no,halophilic species,Moderate 
222,Thalassosmittia atlantica,Diptera,Insecta,Arthropoda,Eukarya,no,halophilic species,Moderate 
223,Tanytarsus kharaensis,Diptera,Insecta,Arthropoda,Eukarya,no,1.60E-02,Slight
224,Alona floessneri,Diplostraca,Branchiopoda,Arthropoda,Eukarya,no,0.3% - 6.1%,Slight
225,Coronatella rectangula,Diplostraca,Branchiopoda,Arthropoda,Eukarya,no,0.3% - 0.7%,Slight
226,Chydorus sphaericus,Diplostraca,Branchiopoda,Arthropoda,Eukarya,no,0.3% - 0.8%,Slight
